.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Kmer Content
NGS001-23_18S_41_S104_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_41_S104_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS001-23_18S_42_S110_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_42_S110_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_43_S116_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_43_S116_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS001-23_18S_44_S122_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_44_S122_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_47_S140_L001_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_47_S140_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_48_S146_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_18S_48_S146_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_18S_29_S98_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_29_S98_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_18S_30_S102_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_30_S102_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_18S_31_S106_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_31_S106_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_32_S110_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_32_S110_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_35_S89_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_18S_35_S89_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_18S_36_S94_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_18S_36_S94_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-24-18S-1_S1_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-1_S1_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-2_S7_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-2_S7_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-3_S12_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-3_S12_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-4_S17_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-4_S17_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-5_S21_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-5_S21_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-6_S25_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-6_S25_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-7_S30_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-7_S30_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-18S-8_S35_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-8_S35_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-9_S2_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-18S-9_S2_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
