Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
NGS001-23_18S_41_S104_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0031986068290255796)	(15, 0.00586411251988023)	(20, 0.04637979902087091)	(25, 0.0764111631378333)	(30, 0.0764111631378333)	(35, 0.0764111631378333)	(40, 0.0764111631378333)	(45, 0.0764111631378333)	(50, 0.07836586731112673)	(55, 0.07960976996685887)	(60, 0.08085367262259105)	(65, 0.08085367262259105)	(70, 0.08085367262259105)	(75, 0.08085367262259105)	(80, 0.08085367262259105)	(85, 0.08085367262259105)	(90, 0.0835191783134457)	(95, 0.0835191783134457)	(100, 0.0835191783134457)	(105, 0.0835191783134457)	(110, 0.0835191783134457)	(115, 0.0835191783134457)	(120, 0.0835191783134457)	(125, 0.08387457907222631)	(130, 0.08511848172795848)	(135, 0.0852961821073488)	(140, 0.08796168779820344)	(145, 0.08796168779820344)	(150, 0.08991639197149685)	(155, 0.09151569538600965)	(160, 0.09364809993869336)	(165, 0.10288851966698949)	(170, 0.10395472194333136)	(175, 0.1046655234608926)	(180, 0.106620227634186)	(185, 0.10768642991052786)	(190, 0.10946343370443097)	(195, 0.11017423522199218)	(200, 0.11088503673955344)	(205, 0.11141813787772437)	(210, 0.11479444508614026)	(215, 0.12030315684723987)	(220, 0.1208362579854108)	(225, 0.1229686625380945)	(230, 0.1261672693671201)	(235, 0.1281219735404135)	(240, 0.12918817581675537)	(245, 0.13256448302517126)	(250, 0.137006992509929)	(255, 0.1386062959244418)	(260, 0.14127180161529646)	(265, 0.14553661072066387)	(270, 0.14766901527334758)	(275, 0.14891291792907976)	(280, 0.15211152475810535)	(285, 0.15708713538103405)
NGS001-23_18S_41_S104_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00124390265573217)	(15, 0.00408710872597713)	(20, 0.044247394468187186)	(25, 0.07374565744697865)	(30, 0.07374565744697865)	(35, 0.07374565744697865)	(40, 0.07374565744697865)	(45, 0.07410105820575927)	(50, 0.0746341593439302)	(55, 0.0746341593439302)	(60, 0.0746341593439302)	(65, 0.0746341593439302)	(70, 0.0746341593439302)	(75, 0.0746341593439302)	(80, 0.0746341593439302)	(85, 0.0746341593439302)	(90, 0.07729966503478485)	(95, 0.07729966503478485)	(100, 0.07729966503478485)	(105, 0.07729966503478485)	(110, 0.07729966503478485)	(115, 0.07729966503478485)	(120, 0.07729966503478485)	(125, 0.07765506579356547)	(130, 0.0781881669317364)	(135, 0.0781881669317364)	(140, 0.08120907338137166)	(145, 0.0817421745195426)	(150, 0.08369687869283601)	(155, 0.0852961821073488)	(160, 0.08742858666003253)	(165, 0.09489200259442554)	(170, 0.0959582048707674)	(175, 0.09666900638832863)	(180, 0.09862371056162206)	(185, 0.09968991283796391)	(190, 0.10200001777003793)	(195, 0.1030662200463798)	(200, 0.1030662200463798)	(205, 0.10342162080516042)	(210, 0.10502092421967321)	(215, 0.10697562839296662)	(220, 0.10750872953113755)	(225, 0.10928573332504066)	(230, 0.1121289393952856)	(235, 0.11319514167162747)	(240, 0.114083643568579)	(245, 0.1155052466037015)	(250, 0.11657144888004337)	(255, 0.11728225039760458)	(260, 0.11817075229455613)	(265, 0.1208362579854108)	(270, 0.12172475988236235)	(275, 0.12208016064114295)	(280, 0.12261326177931389)	(285, 0.12332406329687513)
NGS001-23_18S_42_S110_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005261957799098451)	(15, 0.00403416764597548)	(20, 0.023152614316033188)	(25, 0.036833704593689155)	(30, 0.036833704593689155)	(35, 0.036833704593689155)	(40, 0.0384122919334187)	(45, 0.04051707505305807)	(50, 0.0412186694262712)	(55, 0.042972655359304016)	(60, 0.043849648325820424)	(65, 0.04437584410573027)	(70, 0.045077438478943396)	(75, 0.04648062722536965)	(80, 0.04648062722536965)	(85, 0.04648062722536965)	(90, 0.04648062722536965)	(95, 0.04648062722536965)	(100, 0.04648062722536965)	(105, 0.04648062722536965)	(110, 0.04648062722536965)	(115, 0.04648062722536965)	(120, 0.04648062722536965)	(125, 0.04648062722536965)	(130, 0.04911160612491887)	(135, 0.049988599091435285)	(140, 0.05121638924455826)	(145, 0.0517425850244681)	(150, 0.0517425850244681)	(155, 0.0517425850244681)	(160, 0.0527949765842878)	(165, 0.05525055689053374)	(170, 0.057004542823566554)	(175, 0.057004542823566554)	(180, 0.060863311876238745)	(185, 0.06226650062266501)	(190, 0.0652482767088208)	(195, 0.06787925560837002)	(200, 0.07015943732131268)	(205, 0.07138722747443567)	(210, 0.07489519934050129)	(215, 0.07787697542665707)	(220, 0.07910476557978005)	(225, 0.08085875151281287)	(230, 0.0824373388525424)	(235, 0.08594531071860803)	(240, 0.08857628961815726)	(245, 0.08945328258467367)	(250, 0.09050567414449337)	(255, 0.09155806570431305)	(260, 0.09611842913019839)	(265, 0.09910020521635417)	(270, 0.099626400996264)	(275, 0.1015557855226001)	(280, 0.10330977145563291)	(285, 0.10506375738866573)
NGS001-23_18S_43_S116_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001191753068764152)	(15, 0.0033369085925396254)	(20, 0.04218805863425099)	(25, 0.06912167798832082)	(30, 0.06912167798832082)	(35, 0.06912167798832082)	(40, 0.06936002860207366)	(45, 0.0712668335120963)	(50, 0.07317363842211892)	(55, 0.07865570253843404)	(60, 0.07865570253843404)	(65, 0.07865570253843404)	(70, 0.07865570253843404)	(75, 0.07865570253843404)	(80, 0.07865570253843404)	(85, 0.07865570253843404)	(90, 0.07865570253843404)	(95, 0.07865570253843404)	(100, 0.07865570253843404)	(105, 0.07865570253843404)	(110, 0.07865570253843404)	(115, 0.07865570253843404)	(120, 0.07865570253843404)	(125, 0.07865570253843404)	(130, 0.07960910499344535)	(135, 0.07984745560719819)	(140, 0.08175426051722083)	(145, 0.08270766297223216)	(150, 0.08413776665474913)	(155, 0.08580622095101895)	(160, 0.08580622095101895)	(165, 0.0893814801573114)	(170, 0.08961983077106424)	(175, 0.0924800381360982)	(180, 0.09867715409367178)	(185, 0.10296746514122272)	(190, 0.10558932189250389)	(195, 0.10606602312000954)	(200, 0.10606602312000954)	(205, 0.10654272434751519)	(210, 0.10868787987129067)	(215, 0.10964128232630199)	(220, 0.10964128232630199)	(225, 0.11011798355380767)	(230, 0.11107138600881897)	(235, 0.11655345012513407)	(240, 0.12132046240019068)	(245, 0.12275056608270767)	(250, 0.12513407222023595)	(255, 0.12823263019902276)	(260, 0.13347634370158504)	(265, 0.13872005720414732)	(270, 0.1418186151829341)	(275, 0.14229531641043974)	(280, 0.16517697533071146)	(285, 0.1725658443570492)
NGS001-23_18S_43_S116_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001191753068764152)	(15, 0.0033369085925396254)	(20, 0.04123465617923967)	(25, 0.06673817185079252)	(30, 0.06673817185079252)	(35, 0.06673817185079252)	(40, 0.06697652246454536)	(45, 0.068883327374568)	(50, 0.07031343105708497)	(55, 0.07031343105708497)	(60, 0.07031343105708497)	(65, 0.07031343105708497)	(70, 0.07031343105708497)	(75, 0.07031343105708497)	(80, 0.07031343105708497)	(85, 0.07031343105708497)	(90, 0.07031343105708497)	(95, 0.07031343105708497)	(100, 0.07031343105708497)	(105, 0.07031343105708497)	(110, 0.07031343105708497)	(115, 0.07031343105708497)	(120, 0.07031343105708497)	(125, 0.07031343105708497)	(130, 0.07126683351209628)	(135, 0.07150518412584912)	(140, 0.07341198903587176)	(145, 0.07436539149088309)	(150, 0.07579549517340006)	(155, 0.07746394946966989)	(160, 0.07746394946966989)	(165, 0.08103920867596234)	(170, 0.08127755928971517)	(175, 0.08413776665474915)	(180, 0.09033488261232273)	(185, 0.09462519365987368)	(190, 0.0972470504111548)	(195, 0.09772375163866047)	(200, 0.09772375163866047)	(205, 0.09820045286616612)	(210, 0.1003456083899416)	(215, 0.10129901084495292)	(220, 0.10129901084495292)	(225, 0.10225241329996423)	(230, 0.10368251698248124)	(235, 0.10630437373376236)	(240, 0.11011798355380767)	(245, 0.11083303539506614)	(250, 0.11226313907758312)	(255, 0.11393159337385295)	(260, 0.11631509951138123)	(265, 0.11965200810392088)	(270, 0.12155881301394351)	(275, 0.12155881301394351)	(280, 0.12823263019902278)	(285, 0.13085448695030394)
NGS001-23_18S_44_S122_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000587328389986051)	(15, 0.002936641949930255)	(20, 0.059026503193598125)	(25, 0.09544086337273328)	(30, 0.09544086337273328)	(35, 0.0957345275677263)	(40, 0.09690918434769841)	(45, 0.10836208795242641)	(50, 0.13537919389178477)	(55, 0.13919682842669406)	(60, 0.14272079876661037)	(65, 0.14389545554658248)	(70, 0.14389545554658248)	(75, 0.14389545554658248)	(80, 0.14389545554658248)	(85, 0.14389545554658248)	(90, 0.1474194258864988)	(95, 0.14830041847147787)	(100, 0.14947507525144996)	(105, 0.149768739446443)	(110, 0.149768739446443)	(115, 0.1506497320314221)	(120, 0.15270538139637324)	(125, 0.15270538139637324)	(130, 0.15388003817634535)	(135, 0.15417370237133837)	(140, 0.15417370237133837)	(145, 0.15417370237133837)	(150, 0.15652301593128257)	(155, 0.15711034432126864)	(160, 0.16063431466118494)	(165, 0.16210263563615007)	(170, 0.1753175244108362)	(175, 0.1811908083106967)	(180, 0.18442111445561998)	(185, 0.19058806255047353)	(190, 0.19881066001027828)	(195, 0.19998531679025033)	(200, 0.20350928713016664)	(205, 0.20527127230012482)	(210, 0.21055722780999928)	(215, 0.2143748623449086)	(220, 0.21936715365979)	(225, 0.2328757066294692)	(230, 0.24080463989428086)	(235, 0.24403494603920417)	(240, 0.24520960281917628)	(245, 0.24520960281917628)	(250, 0.2554878496439322)	(255, 0.26987739519859044)	(260, 0.2830922839732765)	(265, 0.28720358270317886)	(270, 0.29190220982306736)	(275, 0.30100579986785114)	(280, 0.3057044269877395)	(285, 0.310990382497614)
NGS001-23_18S_44_S122_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000587328389986051)	(15, 0.002936641949930255)	(20, 0.07165406357829822)	(25, 0.11599735702224505)	(30, 0.11599735702224505)	(35, 0.11629102121723808)	(40, 0.1174656779972102)	(45, 0.12686293223698702)	(50, 0.1394904926216871)	(55, 0.1394904926216871)	(60, 0.1394904926216871)	(65, 0.1394904926216871)	(70, 0.1394904926216871)	(75, 0.1394904926216871)	(80, 0.1394904926216871)	(85, 0.1394904926216871)	(90, 0.1430144629616034)	(95, 0.14389545554658248)	(100, 0.1450701123265546)	(105, 0.1453637765215476)	(110, 0.1453637765215476)	(115, 0.14624476910652667)	(120, 0.14830041847147787)	(125, 0.14830041847147787)	(130, 0.14947507525144996)	(135, 0.149768739446443)	(140, 0.149768739446443)	(145, 0.149768739446443)	(150, 0.1521180530063872)	(155, 0.15270538139637324)	(160, 0.15828500110124072)	(165, 0.16180897144115702)	(170, 0.172968210850892)	(175, 0.17942882314073855)	(180, 0.18442111445561998)	(185, 0.18911974157550843)	(190, 0.195874018060348)	(195, 0.1970486748403201)	(200, 0.2005726451802364)	(205, 0.20204096615520153)	(210, 0.20556493649511784)	(215, 0.20850157844504807)	(220, 0.21231921297995737)	(225, 0.2237721165846854)	(230, 0.230526393069525)	(235, 0.23375669921444828)	(240, 0.2349313559944204)	(245, 0.2349313559944204)	(250, 0.2405109756992879)	(255, 0.2457969312091623)	(260, 0.25137655091402983)	(265, 0.253432200278981)	(270, 0.2581308273988694)	(275, 0.26459143968871596)	(280, 0.26576609646868804)	(285, 0.26723441744365317)
NGS001-23_18S_47_S140_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00025188599639803025)	(15, 0.0012594299819901514)	(20, 0.019647107719046358)	(25, 0.03400460951373408)	(30, 0.03400460951373408)	(35, 0.03400460951373408)	(40, 0.03400460951373408)	(45, 0.03526403949572423)	(50, 0.036523469477714385)	(55, 0.036523469477714385)	(60, 0.036523469477714385)	(65, 0.036523469477714385)	(70, 0.036523469477714385)	(75, 0.03727912746690847)	(80, 0.03778289945970454)	(85, 0.03778289945970454)	(90, 0.03904232944169469)	(95, 0.03904232944169469)	(100, 0.03904232944169469)	(105, 0.03904232944169469)	(110, 0.03904232944169469)	(115, 0.03904232944169469)	(120, 0.040301759423684844)	(125, 0.04256873339126711)	(130, 0.04508759335524742)	(135, 0.045843251344441505)	(140, 0.04785833931562575)	(145, 0.04785833931562575)	(150, 0.04886588330121787)	(155, 0.05012531328320802)	(160, 0.05138474326519817)	(165, 0.052896059243586355)	(170, 0.052896059243586355)	(175, 0.052896059243586355)	(180, 0.0549111472147706)	(185, 0.055666805203964685)	(190, 0.057430007178750894)	(195, 0.060452639135527265)	(200, 0.06297149909950757)	(205, 0.06448281507789574)	(210, 0.07430636893741892)	(215, 0.08312237881134998)	(220, 0.08387803680054406)	(225, 0.08538935277893225)	(230, 0.08690066875732044)	(235, 0.08816009873931059)	(240, 0.09118273069608694)	(245, 0.09193838868528104)	(250, 0.09193838868528104)	(255, 0.09244216067807709)	(260, 0.0931978186672712)	(265, 0.09521290663845543)	(270, 0.0957166786312515)	(275, 0.0957166786312515)	(280, 0.09773176660243574)	(285, 0.1032732585231924)
NGS001-23_18S_48_S146_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.004434504299541125)	(15, 0.011182663016234143)	(20, 0.027571048471060046)	(25, 0.0404889523001581)	(30, 0.0404889523001581)	(35, 0.0404889523001581)	(40, 0.0404889523001581)	(45, 0.04126017043920873)	(50, 0.04241699764778468)	(55, 0.04241699764778468)	(60, 0.04241699764778468)	(65, 0.04241699764778468)	(70, 0.042802606717309996)	(75, 0.044345042995411255)	(80, 0.044345042995411255)	(85, 0.044345042995411255)	(90, 0.04858674276018972)	(95, 0.04916515636447769)	(100, 0.05012917903829097)	(105, 0.05012917903829097)	(110, 0.05012917903829097)	(115, 0.052057224385917554)	(120, 0.054563683337832104)	(125, 0.05572051054640805)	(130, 0.05899818763737323)	(135, 0.060347819380711834)	(140, 0.06304708286738905)	(145, 0.06362549647167702)	(150, 0.06748158716693016)	(155, 0.06979524158408205)	(160, 0.0732657232098099)	(165, 0.07538657309219912)	(170, 0.07827864111363898)	(175, 0.08059229553079088)	(180, 0.08656923610843327)	(185, 0.09061813133844909)	(190, 0.09485983110322753)	(195, 0.0964022673813288)	(200, 0.10045116261134461)	(205, 0.1023792079589712)	(210, 0.11626113446188255)	(215, 0.12725099294335404)	(220, 0.13149269270813252)	(225, 0.1446034010719932)	(230, 0.14845949176724638)	(235, 0.1528939960667875)	(240, 0.15559325955346473)	(245, 0.15617167315775268)	(250, 0.1646550726873096)	(255, 0.17024640419542666)	(260, 0.1796938263987969)	(265, 0.1879844213935912)	(270, 0.19087648941503105)	(275, 0.192033316623607)	(280, 0.1968534299926734)	(285, 0.199359888944588)
NGS001-23_18S_48_S146_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002892068021439864)	(15, 0.009254617668607567)	(20, 0.02429337138009486)	(25, 0.035668838931091656)	(30, 0.035668838931091656)	(35, 0.035668838931091656)	(40, 0.035668838931091656)	(45, 0.036054448000616975)	(50, 0.03663286160490495)	(55, 0.03663286160490495)	(60, 0.03663286160490495)	(65, 0.03663286160490495)	(70, 0.037018470674430266)	(75, 0.038560906952531525)	(80, 0.038560906952531525)	(85, 0.038560906952531525)	(90, 0.042802606717309996)	(95, 0.04338102032159796)	(100, 0.044345042995411255)	(105, 0.044345042995411255)	(110, 0.044345042995411255)	(115, 0.0455018702039872)	(120, 0.0478155246211391)	(125, 0.04897235182971503)	(130, 0.05225002892068022)	(135, 0.05359966066401881)	(140, 0.05803416496355994)	(145, 0.058805383102610576)	(150, 0.06266147379786373)	(155, 0.06497512821501561)	(160, 0.06844560984074345)	(165, 0.07056645972313269)	(170, 0.07288011414028459)	(175, 0.07577218216172445)	(180, 0.08174912273936683)	(185, 0.08579801796938263)	(190, 0.08946130412987315)	(195, 0.09061813133844908)	(200, 0.09466702656846489)	(205, 0.09659507191609149)	(210, 0.10835614853661357)	(215, 0.11664674353140785)	(220, 0.11992442062237303)	(225, 0.12975745189526858)	(230, 0.13303512898623376)	(235, 0.1359271970076736)	(240, 0.1378552423553002)	(245, 0.1378552423553002)	(250, 0.14267535572436665)	(255, 0.14595303281533184)	(260, 0.15077314618439827)	(265, 0.15713569583156595)	(270, 0.16099178652681911)	(275, 0.16099178652681911)	(280, 0.16099178652681911)	(285, 0.16099178652681911)
