Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
NGS001-23_18S_41_S104_L001_R1_001	83.62135603159513	10.984548952011991
NGS001-23_18S_41_S104_L001_R2_001	38.4614701152387	43.84668011266203
NGS001-23_18S_42_S110_L001_R1_001	86.42327188535947	8.616455896023709
NGS001-23_18S_42_S110_L001_R2_001	45.9702173188571	38.644695069545584
NGS001-23_18S_43_S116_L001_R1_001	87.90251459897509	6.884757478250506
NGS001-23_18S_43_S116_L001_R2_001	60.06912167798832	25.057800023835057
NGS001-23_18S_44_S122_L001_R1_001	86.85999559503708	7.604434329344386
NGS001-23_18S_44_S122_L001_R2_001	35.608251963879304	43.63703105498866
NGS001-23_18S_47_S140_L001_R1_001	89.10970894573116	5.809750506920594
NGS001-23_18S_47_S140_L001_R2_001	31.101623405246787	51.758793969849265
NGS001-23_18S_48_S146_L001_R1_001	88.82312111980873	5.939343693363654
NGS001-23_18S_48_S146_L001_R2_001	53.429028650753864	30.827517063201284
NGS069-23_18S_29_S98_L001_R1_001	88.39984963348161	7.342898314641928
NGS069-23_18S_29_S98_L001_R2_001	43.80677902387068	41.84888164901947
NGS069-23_18S_30_S102_L001_R1_001	88.21307870309913	7.438323034250786
NGS069-23_18S_30_S102_L001_R2_001	42.367622400635184	41.93929200119098
NGS069-23_18S_31_S106_L001_R1_001	89.79113875451125	5.947170390846949
NGS069-23_18S_31_S106_L001_R2_001	46.033939952391925	39.894801505029584
NGS069-23_18S_32_S110_L001_R1_001	87.88033564392558	7.179861364465538
NGS069-23_18S_32_S110_L001_R2_001	61.27690623859905	26.099963516964586
NGS069-23_18S_35_S89_L001_R1_001	89.41394739714067	6.5480737749645215
NGS069-23_18S_35_S89_L001_R2_001	49.17603404998363	36.16719415038742
NGS069-23_18S_36_S94_L001_R1_001	86.97193568308136	8.474188605018199
NGS069-23_18S_36_S94_L001_R2_001	22.526932137874248	61.11479609341051
NGS069-24-18S-1_S1_L001_R1_001	89.4110216327175	6.1150586872993244
NGS069-24-18S-1_S1_L001_R2_001	22.56960892678562	60.348439391547004
NGS069-24-18S-2_S7_L001_R1_001	89.8817055757421	5.877572816661029
NGS069-24-18S-2_S7_L001_R2_001	27.804413693827563	56.630408284092375
NGS069-24-18S-3_S12_L001_R1_001	89.252911220701	6.307549056798976
NGS069-24-18S-3_S12_L001_R2_001	31.57223161016657	52.00652941108848
NGS069-24-18S-4_S17_L001_R1_001	90.05491676677536	5.569975973914524
NGS069-24-18S-4_S17_L001_R2_001	16.590870087523594	65.36489617298783
NGS069-24-18S-5_S21_L001_R1_001	90.86165286021786	5.004239775618046
NGS069-24-18S-5_S21_L001_R2_001	18.43715347987737	65.04989889765837
NGS069-24-18S-6_S25_L001_R1_001	89.64623804046965	5.730463467347462
NGS069-24-18S-6_S25_L001_R2_001	16.21566967050467	66.53100946651328
NGS069-24-18S-7_S30_L001_R1_001	89.09194807435202	6.639496269461318
NGS069-24-18S-7_S30_L001_R2_001	31.92521671626342	54.86802949928844
NGS069-24-18S-8_S35_L001_R1_001	88.9335728044146	6.815815503149594
NGS069-24-18S-8_S35_L001_R2_001	32.6162215628091	52.32052683637875
NGS069-24-18S-9_S2_L001_R1_001	89.57925120620273	6.066831005204051
NGS069-24-18S-9_S2_L001_R2_001	38.72595495438552	47.710848450371834
