Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_18S_41_S104_L001_R1_001	(1, 0.00088850189695155)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00088850189695155)	(7, 0.0035540075878062)	(8, 0.0017770037939031)	(9, 0.00088850189695155)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00266550569085465)	(35, 0.00408710872597713)	(40, 0.01190592541915077)	(45, 0.03340767132537828)	(50, 0.03234146904903642)	(55, 0.01474913148939573)	(60, 0.010484322384028289)	(65, 0.012972127695492629)	(70, 0.00390940834658682)	(75, 0.05917422633697323)	(80, 0.04069338688038099)	(85, 0.03145296715208487)	(90, 0.01901394059476317)	(95, 0.01190592541915077)	(100, 0.03856098232769727)	(105, 0.12474566633199763)	(110, 0.06468293809807284)	(115, 0.02381185083830154)	(120, 0.0031986068290255796)	(125, 0.0)	(130, 0.00231010493207403)	(135, 0.00071080151756124)	(140, 0.00017770037939031)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.00017770037939031)	(165, 0.0)	(170, 0.0)	(175, 0.00746341593439302)	(180, 0.0015993034145127898)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_18S_41_S104_L001_R2_001	(1, 0.0053310113817093)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00231010493207403)	(15, 0.04318119219184533)	(20, 0.0799651707256395)	(25, 0.0604181289927054)	(30, 0.05526481799038641)	(35, 0.06841464606526934)	(40, 0.06539373961563408)	(45, 0.14109410123590616)	(50, 0.10608712649601507)	(55, 0.06183973202782787)	(60, 0.02434495197647247)	(65, 0.03962718460403913)	(70, 0.03003136411696239)	(75, 0.03163066753147518)	(80, 0.012794427316102319)	(85, 0.01830313907720193)	(90, 0.018125438697811618)	(95, 0.02807665994366898)	(100, 0.06699304303014687)	(105, 0.07090245137673369)	(110, 0.03802788118952634)	(115, 0.08476308096917787)	(120, 0.06823694568587904)	(125, 0.01101742352219922)	(130, 0.01617073452451821)	(135, 0.01226132617793139)	(140, 0.00071080151756124)	(145, 0.0)	(150, 0.0015993034145127898)	(155, 0.0017770037939031)	(160, 0.00035540075878062)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.00017770037939031)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.00213240455268372)	(300, 0.000444250948475775)
NGS001-23_18S_42_S110_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.002630978899549226)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0031571746794590706)	(35, 0.0047357620191886066)	(40, 0.009296125445073931)	(45, 0.02981776086155789)	(50, 0.03157174679459071)	(55, 0.012804097311139564)	(60, 0.011225509971410029)	(65, 0.012804097311139564)	(70, 0.003858769052672197)	(75, 0.05261957799098452)	(80, 0.037184501780295726)	(85, 0.02560819462227913)	(90, 0.019118446670057705)	(95, 0.012102502937926437)	(100, 0.034904320067353056)	(105, 0.1150614772069528)	(110, 0.054198165330714046)	(115, 0.021223229789697085)	(120, 0.002806377492852507)	(125, 0.0)	(130, 0.0012277901531229719)	(135, 0.0005261957799098451)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0001753985933032817)	(160, 0.0001753985933032817)	(165, 0.0)	(170, 0.0)	(175, 0.005612754985705014)	(180, 0.0008769929665164085)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_18S_42_S110_L001_R2_001	(1, 0.007015943732131268)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002806377492852507)	(15, 0.03753529896690229)	(20, 0.06963324154140284)	(25, 0.051917983617771384)	(30, 0.04876080893831231)	(35, 0.05788153579008296)	(40, 0.05279497658428779)	(45, 0.1341799238770105)	(50, 0.09068107273779664)	(55, 0.05051479487134513)	(60, 0.017189062143721606)	(65, 0.0326241383544104)	(70, 0.024380404469156156)	(75, 0.02630978899549226)	(80, 0.010874712784803465)	(85, 0.015610474803992073)	(90, 0.014031887464262536)	(95, 0.02332801290933647)	(100, 0.0575307386034764)	(105, 0.06051251468963219)	(110, 0.030694753828074295)	(115, 0.0757721923070177)	(120, 0.05788153579008296)	(125, 0.00912072685177065)	(130, 0.011225509971410029)	(135, 0.009646922631680493)	(140, 0.0012277901531229719)	(145, 0.0003507971866065634)	(150, 0.00403416764597548)	(155, 0.0024555803062459437)	(160, 0.0012277901531229719)	(165, 0.0005261957799098451)	(170, 0.0008769929665164085)	(175, 0.0)	(180, 0.0010523915598196901)	(185, 0.0003507971866065634)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0003507971866065634)	(220, 0.0)	(225, 0.0)	(230, 0.0001753985933032817)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0003507971866065634)	(300, 0.0008769929665164085)
NGS001-23_18S_43_S116_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.001191753068764152)	(7, 0.001191753068764152)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0019068049100226432)	(35, 0.002383506137528304)	(40, 0.009772375163866046)	(45, 0.030270527946609463)	(50, 0.03241568347038494)	(55, 0.01239423191514718)	(60, 0.008818972708854724)	(65, 0.010487427005124537)	(70, 0.003336908592539626)	(75, 0.05029197950184722)	(80, 0.032892384697890596)	(85, 0.020498152782743414)	(90, 0.014539387438922656)	(95, 0.0069121677988320815)	(100, 0.033845787152901916)	(105, 0.12227386485520199)	(110, 0.05648909545942081)	(115, 0.018591347872720772)	(120, 0.0007150518412584912)	(125, 0.0)	(130, 0.0002383506137528304)	(135, 0.0002383506137528304)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.00572041473006793)	(180, 0.0009534024550113216)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_18S_43_S116_L001_R2_001	(1, 0.007150518412584913)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001668454296269813)	(15, 0.03765939697294721)	(20, 0.07198188535335479)	(25, 0.04957692766058872)	(30, 0.04504826599928495)	(35, 0.05529734239065665)	(40, 0.04910022643308307)	(45, 0.13967345965915862)	(50, 0.09057323322607556)	(55, 0.04695507090930759)	(60, 0.01739959480395662)	(65, 0.03050887856036229)	(70, 0.024073411989035873)	(75, 0.02478846383029436)	(80, 0.009772375163866046)	(85, 0.01620784173519247)	(90, 0.013109283756405674)	(95, 0.024550113216541537)	(100, 0.06149445834823025)	(105, 0.06220951018948874)	(110, 0.02955547610535097)	(115, 0.0760338457871529)	(120, 0.05934930282445477)	(125, 0.010010725777618877)	(130, 0.013824335597664163)	(135, 0.010249076391371707)	(140, 0.0002383506137528304)	(145, 0.0)	(150, 0.0007150518412584912)	(155, 0.0007150518412584912)	(160, 0.0002383506137528304)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.000595876534382076)
NGS001-23_18S_44_S122_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0014683209749651272)	(7, 0.007341604874825637)	(8, 0.0014683209749651272)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0014683209749651272)	(35, 0.0014683209749651272)	(40, 0.012627560384700096)	(45, 0.03435871081418398)	(50, 0.037001688569121206)	(55, 0.009690918434769841)	(60, 0.006754276484839587)	(65, 0.007341604874825637)	(70, 0.004698627119888408)	(75, 0.07018574260333309)	(80, 0.04874825636884223)	(85, 0.039351002129065414)	(90, 0.0311284046692607)	(95, 0.023493135599442036)	(100, 0.05109756992878644)	(105, 0.13919682842669406)	(110, 0.06871742162836796)	(115, 0.024080463989428088)	(120, 0.0008809925849790765)	(125, 0.0)	(130, 0.000587328389986051)	(135, 0.0002936641949930255)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0002936641949930255)	(165, 0.0)	(170, 0.0)	(175, 0.005579619704867484)	(180, 0.001174656779972102)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_18S_44_S122_L001_R2_001	(1, 0.0029366419499302545)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002349313559944204)	(15, 0.046105278613905)	(20, 0.09397254239776814)	(25, 0.0669554364584098)	(30, 0.06020115997357022)	(35, 0.0725350561632773)	(40, 0.07282872035827032)	(45, 0.15857866529623374)	(50, 0.11893399897217531)	(55, 0.06842375743337493)	(60, 0.014976873944644298)	(65, 0.03817634534909332)	(70, 0.026429777549372292)	(75, 0.026136113354379265)	(80, 0.007047940679832612)	(85, 0.015270538139637324)	(90, 0.013508552969679174)	(95, 0.029953747889288597)	(100, 0.07517803391821452)	(105, 0.07899566845312385)	(110, 0.037295352764114234)	(115, 0.09837750532266354)	(120, 0.0760590265031936)	(125, 0.009397254239776815)	(130, 0.014683209749651274)	(135, 0.008516261654797738)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0008809925849790765)	(160, 0.0002936641949930255)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.000587328389986051)	(300, 0.0007341604874825636)
NGS001-23_18S_47_S140_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0012594299819901514)	(7, 0.0050377199279606055)	(8, 0.0012594299819901514)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0025188599639803027)	(35, 0.0027707459603783327)	(40, 0.00931978186672712)	(45, 0.026196143625395147)	(50, 0.023677283661414843)	(55, 0.0108310978451153)	(60, 0.009823553859523179)	(65, 0.010075439855921211)	(70, 0.0022669739675822724)	(75, 0.0465989093336356)	(80, 0.03677535547411241)	(85, 0.024181055654210904)	(90, 0.015868817773075906)	(95, 0.007304693895542877)	(100, 0.03173763554615181)	(105, 0.11284492638631756)	(110, 0.051132857268800146)	(115, 0.020654651704638483)	(120, 0.0007556579891940908)	(125, 0.0)	(130, 0.0005037719927960605)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0037782899459704537)	(180, 0.0005037719927960605)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_18S_47_S140_L001_R2_001	(1, 0.0037782899459704537)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0012594299819901514)	(15, 0.03652346947771439)	(20, 0.06952053500585635)	(25, 0.05390360322917847)	(30, 0.047606453319227714)	(35, 0.05692623518595484)	(40, 0.05642246319315878)	(45, 0.14760519388924573)	(50, 0.09445724864926135)	(55, 0.04886588330121787)	(60, 0.02241785367942469)	(65, 0.03224140753894787)	(70, 0.027455573607385295)	(75, 0.026448029621793177)	(80, 0.011334869837911361)	(85, 0.01889144972985227)	(90, 0.011838641830707422)	(95, 0.024936713643404995)	(100, 0.0574300071787509)	(105, 0.06196395511391545)	(110, 0.02896688958577348)	(115, 0.07355071094822482)	(120, 0.05868943716074104)	(125, 0.009823553859523179)	(130, 0.013853729801891665)	(135, 0.00906789587032909)	(140, 0.0007556579891940908)	(145, 0.0)	(150, 0.002015087971184242)	(155, 0.002015087971184242)	(160, 0.00025188599639803025)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.00025188599639803025)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.00025188599639803025)	(300, 0.0006297149909950757)
