Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_18S_41_S104_L001_R1_001	(1, 33.91138082079805)	(2, 33.851629068228064)	(3, 33.79783027836764)	(4, 33.77901180819021)	(5, 33.845027499133714)	(6, 37.52665061439906)	(7, 37.746119467965066)	(8, 37.38084745310931)	(9, 37.472860709557615)	(10, 36.970380900763224)	(15, 37.569968635883036)	(20, 37.7257656665097)	(25, 37.61565362642049)	(30, 37.68118241832447)	(35, 37.65245715199602)	(40, 37.552111524758104)	(45, 37.55677793672089)	(50, 37.451207918328905)	(55, 37.50407911220891)	(60, 37.60664066317782)	(65, 37.51289127402286)	(70, 37.49383290833326)	(75, 37.600115505246606)	(80, 37.47168433304605)	(85, 37.43939262010324)	(90, 37.29033043385548)	(95, 36.864414610525195)	(100, 36.65070858026282)	(105, 36.55269971301389)	(110, 36.853663737572084)	(115, 36.66448213666936)	(120, 36.46223600387387)	(125, 36.41669317363993)	(130, 36.33337479675519)	(135, 36.26131906991621)	(140, 36.49516388417489)	(145, 36.438191365538565)	(150, 36.54504082666217)	(155, 36.071481754613544)	(160, 35.96276466250255)	(165, 35.56335107375454)	(170, 35.55970466196945)	(175, 35.7264942380652)	(180, 35.19339665390186)	(185, 35.21705390541009)	(190, 34.68748189677385)	(195, 34.75732525388942)	(200, 35.19711592284249)	(205, 34.85967889541445)	(210, 34.7981359230202)	(215, 33.9228193942194)	(220, 34.072366702502904)	(225, 34.67359638912829)	(230, 33.94630249935584)	(235, 33.06848750322082)	(240, 32.696418448853386)	(245, 32.695021723871385)	(250, 31.953922291624092)	(255, 31.660416351988907)	(260, 30.685456112448797)	(265, 30.057683320153888)	(270, 28.878204159965883)	(275, 27.60527770126789)	(280, 27.265841544571696)	(285, 28.65353223929133)	(290, 26.828149517099224)	(295, 26.479471163670933)	(300, 21.276204142195844)
NGS001-23_18S_41_S104_L001_R2_001	(1, 31.866582555153755)	(2, 33.13682040711157)	(3, 33.013549653928514)	(4, 32.7470701649948)	(5, 33.06249722343157)	(6, 37.04056011159584)	(7, 36.588445921332045)	(8, 37.04321673226772)	(9, 36.62625167704733)	(10, 36.63480261930359)	(15, 36.10410221325823)	(20, 36.32475632835476)	(25, 36.04725053087988)	(30, 36.34590800451359)	(35, 35.531691974162364)	(40, 35.80725906049809)	(45, 35.76892020364464)	(50, 35.532463193808915)	(55, 35.46080551581978)	(60, 35.219047703666845)	(65, 34.81858390567664)	(70, 35.288246008405224)	(75, 34.72045775617731)	(80, 34.84304258589592)	(85, 35.24014429270806)	(90, 35.144649885827505)	(95, 35.17748891593884)	(100, 34.23764582537383)	(105, 34.730878106424754)	(110, 34.708363468356005)	(115, 34.47320189428605)	(120, 34.486202454042235)	(125, 34.72721214759794)	(130, 35.03575509333712)	(135, 34.685605380767484)	(140, 33.85203600209686)	(145, 34.18377595536166)	(150, 34.06565495917334)	(155, 33.557940097202106)	(160, 33.68445565931283)	(165, 33.87500377613306)	(170, 33.16545860025411)	(175, 32.83986352610863)	(180, 33.23530018036588)	(185, 32.861907258171996)	(190, 32.51041768474176)	(195, 31.37567104105768)	(200, 30.757238180703514)	(205, 30.062562972571946)	(210, 29.853622866484823)	(215, 29.87410994322473)	(220, 28.37085891478378)	(225, 27.506769495952874)	(230, 26.758110689566326)	(235, 26.65088272663462)	(240, 25.0049827186381)	(245, 27.471774960239543)	(250, 26.071709211099165)	(255, 22.866120534167344)	(260, 18.989947489537894)	(265, 22.983251739242462)	(270, 21.78110156465184)	(275, 21.270660778860766)	(280, 17.623836728891416)	(285, 17.336836400145714)	(290, 15.49684315276013)	(295, 18.890572106371444)	(300, 13.745075478236146)
NGS001-23_18S_42_S110_L001_R1_001	(1, 33.90578464560714)	(2, 33.884087839615525)	(3, 33.777024538263205)	(4, 33.755634679809866)	(5, 33.86083875607318)	(6, 37.55743426937716)	(7, 37.75405609247014)	(8, 37.278945152859876)	(9, 37.44159226843001)	(10, 36.86408363004929)	(15, 37.54148176731623)	(20, 37.72034097486538)	(25, 37.60680371143424)	(30, 37.68681528774139)	(35, 37.6675249504499)	(40, 37.56537280971007)	(45, 37.575633627418306)	(50, 37.47895216880361)	(55, 37.51929384526336)	(60, 37.64212372616772)	(65, 37.4951782926701)	(70, 37.48914808903233)	(75, 37.604397242734116)	(80, 37.488302667812604)	(85, 37.46343991721186)	(90, 37.34444775752898)	(95, 36.89700769999824)	(100, 36.65985476996474)	(105, 36.64493010366057)	(110, 36.85519618332661)	(115, 36.629259993334855)	(120, 36.446222791293216)	(125, 36.38765018504552)	(130, 36.33702313507446)	(135, 36.25047620718082)	(140, 36.45747636503955)	(145, 36.353189623419226)	(150, 36.411681546314)	(155, 35.93750197323418)	(160, 35.753331696279794)	(165, 35.27408134986757)	(170, 35.343446231561224)	(175, 35.64776980688615)	(180, 35.085804991843965)	(185, 35.0331012225282)	(190, 34.63525511725396)	(195, 34.57583358181467)	(200, 35.131438443863686)	(205, 34.739731289355056)	(210, 34.58103765807799)	(215, 33.85610650202585)	(220, 33.95368249346641)	(225, 34.53758967253083)	(230, 33.66153508848859)	(235, 32.638512269131596)	(240, 32.34347604932209)	(245, 32.23621103958747)	(250, 31.603658814656306)	(255, 31.146720923298194)	(260, 30.261401785557677)	(265, 29.45433497623349)	(270, 28.001441776436955)	(275, 26.86241032746917)	(280, 27.00799817585463)	(285, 28.38800799817585)	(290, 26.523750723519196)	(295, 26.29349972813218)	(300, 21.19099152824794)
NGS001-23_18S_42_S110_L001_R2_001	(1, 32.3182870573378)	(2, 33.34575447704909)	(3, 33.26248399487836)	(4, 33.06644098714328)	(5, 33.32264571238139)	(6, 37.23283286268044)	(7, 36.88558749758827)	(8, 37.256950169259646)	(9, 36.94895900934875)	(10, 36.96474488274604)	(15, 36.465616613754754)	(20, 36.672527318330914)	(25, 36.428214617718766)	(30, 36.67600898040798)	(35, 36.00187676494835)	(40, 36.24079245084455)	(45, 36.23600757721923)	(50, 36.05204427060495)	(55, 36.02101801343553)	(60, 35.767065406135444)	(65, 35.36618841316893)	(70, 35.92065143037553)	(75, 35.30730359742515)	(80, 35.49040043498851)	(85, 35.76903513233824)	(90, 35.70581797133987)	(95, 35.79236314524757)	(100, 35.0110606352937)	(105, 35.417525827442866)	(110, 35.33901566309438)	(115, 35.23055618893936)	(120, 35.138189535719924)	(125, 35.40898216196306)	(130, 35.68913405714486)	(135, 35.37756476593058)	(140, 34.634818374756634)	(145, 34.96596039499763)	(150, 34.88453159805658)	(155, 34.456345044112744)	(160, 34.548816936488166)	(165, 34.61096592005332)	(170, 34.17334292178977)	(175, 33.72755336502202)	(180, 34.115610474804)	(185, 33.80108045533475)	(190, 33.440971357409715)	(195, 32.48925508217424)	(200, 31.756201217266238)	(205, 31.2093610229246)	(210, 31.029238945503657)	(215, 31.066651465455244)	(220, 29.41341097644397)	(225, 28.61316717239928)	(230, 28.213153140511814)	(235, 27.792742006209107)	(240, 26.262613789837406)	(245, 28.705970568116044)	(250, 27.291415992843735)	(255, 24.07881535790083)	(260, 19.76222265097434)	(265, 24.11742585024468)	(270, 22.833227509515375)	(275, 22.206649360672124)	(280, 18.63569536772315)	(285, 18.8752775682739)	(290, 16.265476294880113)	(295, 19.853375545928124)	(300, 14.003450967323241)
NGS001-23_18S_43_S116_L001_R1_001	(1, 33.85682278631867)	(2, 33.8074246216184)	(3, 33.73495411750685)	(4, 33.75436777499702)	(5, 33.87336431891312)	(6, 37.52592062924562)	(7, 37.767524728876175)	(8, 37.30508878560362)	(9, 37.46839470861637)	(10, 36.90606840662614)	(15, 37.57954713383386)	(20, 37.74815635800262)	(25, 37.6415373614587)	(30, 37.70374448814206)	(35, 37.69243713502563)	(40, 37.598159933261826)	(45, 37.625424859969016)	(50, 37.52526278155166)	(55, 37.52940531521868)	(60, 37.65404600166845)	(65, 37.52450959361221)	(70, 37.516791800738886)	(75, 37.636164938624724)	(80, 37.49338100345609)	(85, 37.47379096651174)	(90, 37.35063758789179)	(95, 37.052036705994524)	(100, 36.751917530687635)	(105, 36.72714336789417)	(110, 36.93657490168037)	(115, 36.755535693004404)	(120, 36.59259206292456)	(125, 36.59644857585509)	(130, 36.43837444881421)	(135, 36.384812298891674)	(140, 36.61374329638899)	(145, 36.53704206888333)	(150, 36.50455249672268)	(155, 35.99156477177929)	(160, 36.05919199141938)	(165, 35.64124419020379)	(170, 35.66143487069479)	(175, 35.83726850196639)	(180, 35.30057680848528)	(185, 35.155554761053516)	(190, 34.69723036586819)	(195, 34.71679656775116)	(200, 35.493459659158624)	(205, 35.23980455249672)	(210, 35.034603742104636)	(215, 34.24319151471815)	(220, 34.27179835538077)	(225, 34.88847336431891)	(230, 33.90698367298295)	(235, 33.02793230842569)	(240, 32.6011369324276)	(245, 32.45557859611488)	(250, 32.19691335955191)	(255, 31.321036825169823)	(260, 30.56091526635681)	(265, 30.185822905493986)	(270, 28.512828030032175)	(275, 27.291111905613157)	(280, 27.167848885710878)	(285, 28.788299368370872)	(290, 26.812148730782987)	(295, 26.504378500774635)	(300, 20.96869860564891)
NGS001-23_18S_43_S116_L001_R2_001	(1, 32.081885353354785)	(2, 33.257204147300676)	(3, 33.21629126445001)	(4, 33.020593493028244)	(5, 33.29481587415088)	(6, 37.18269574544154)	(7, 36.87319747348349)	(8, 37.20611369324276)	(9, 36.88603265403408)	(10, 36.89678226671434)	(15, 36.4242426409248)	(20, 36.63983553807651)	(25, 36.35677511619592)	(30, 36.57203193898224)	(35, 35.86788940531522)	(40, 36.125923012751755)	(45, 36.21561911571922)	(50, 36.06380169228936)	(55, 36.069193183172445)	(60, 35.8826933619354)	(65, 35.318648552020015)	(70, 35.83308783220117)	(75, 35.37050411154809)	(80, 35.44227624836134)	(85, 35.8102633774282)	(90, 35.74588010964128)	(95, 35.71020855678703)	(100, 34.98401144082946)	(105, 35.498102729114535)	(110, 35.23490883089024)	(115, 35.26369681801931)	(120, 35.253490644738406)	(125, 35.457895364080564)	(130, 35.74324395185318)	(135, 35.27679180073888)	(140, 34.570694792039085)	(145, 34.977349541175066)	(150, 34.73877011083304)	(155, 34.61920390895007)	(160, 34.60281492074842)	(165, 34.529221785246094)	(170, 34.13600047670123)	(175, 33.54231438445954)	(180, 34.04816112501489)	(185, 33.66294124657371)	(190, 33.31061851984269)	(195, 32.40246692885235)	(200, 31.37296150637588)	(205, 30.836598736741745)	(210, 30.595206769157432)	(215, 30.81408413776665)	(220, 28.978789178882135)	(225, 28.48889286139912)	(230, 27.929045405791918)	(235, 27.331335955190088)	(240, 25.486921701823384)	(245, 28.31698009772375)	(250, 26.704726492670723)	(255, 23.626409248003817)	(260, 20.29133118817781)	(265, 23.950670956977714)	(270, 22.608635442736265)	(275, 22.1251698248123)	(280, 18.249998808246932)	(285, 18.442547968061017)	(290, 16.041127398403052)	(295, 19.648142056965796)	(300, 13.33764747944226)
NGS001-23_18S_44_S122_L001_R1_001	(1, 33.84824902723735)	(2, 33.808589677703544)	(3, 33.82208354746348)	(4, 33.80944130386903)	(5, 33.880478672637835)	(6, 37.592746494383675)	(7, 37.78224799941267)	(8, 37.3684751486675)	(9, 37.48435504001175)	(10, 36.94645033404302)	(15, 37.5725981939652)	(20, 37.72037589016959)	(25, 37.61581675354232)	(30, 37.66606857058953)	(35, 37.666062697305634)	(40, 37.5534072388224)	(45, 37.545357903237644)	(50, 37.44563247925996)	(55, 37.50719917774025)	(60, 37.639295205932015)	(65, 37.502256809338526)	(70, 37.49335878423023)	(75, 37.593521767858455)	(80, 37.496894501137945)	(85, 37.44326260920637)	(90, 37.26915791792085)	(95, 36.66995081124734)	(100, 36.42390132883048)	(105, 36.446008369429556)	(110, 36.77633360252552)	(115, 36.49883562146685)	(120, 36.37192863960062)	(125, 36.25395785918802)	(130, 36.20669260700389)	(135, 36.13306218339329)	(140, 36.301284780853095)	(145, 36.207837897364364)	(150, 36.26529917039865)	(155, 35.846842375743336)	(160, 35.70302914617135)	(165, 35.34994200132148)	(170, 35.3263167168343)	(175, 35.3937537625725)	(180, 35.219237941413994)	(185, 35.17293297114749)	(190, 34.6083929226929)	(195, 34.49502092357389)	(200, 34.897355553924086)	(205, 34.54428015564203)	(210, 34.398334924014385)	(215, 33.7262990969826)	(220, 33.947783569488294)	(225, 34.17291828793774)	(230, 33.49656853388151)	(235, 32.480775273474784)	(240, 32.1979296674253)	(245, 31.895291094633286)	(250, 31.428611702518168)	(255, 30.954147272593787)	(260, 30.1662579839953)	(265, 29.556992878643268)	(270, 27.924404962924893)	(275, 26.696063431466122)	(280, 26.641976360032306)	(285, 27.596854856471623)	(290, 26.271507231480804)	(295, 25.823322810366346)	(300, 21.474598047133103)
NGS001-23_18S_44_S122_L001_R2_001	(1, 31.924542985096544)	(2, 33.169165259525734)	(3, 33.02225974598047)	(4, 32.73739079362749)	(5, 33.044255194185446)	(6, 37.00474267674914)	(7, 36.56998751927171)	(8, 37.051317818075034)	(9, 36.59220321562294)	(10, 36.623889582262684)	(15, 36.04145070112327)	(20, 36.22498201306806)	(25, 35.707340136553846)	(30, 36.222024814624476)	(35, 35.38438000146832)	(40, 35.63050877321783)	(45, 35.584984949710005)	(50, 35.3200469862712)	(55, 35.02963365391675)	(60, 34.7830731958006)	(65, 34.54775420306879)	(70, 34.93323544526833)	(75, 34.240290727553045)	(80, 34.494891711328094)	(85, 34.91071140151237)	(90, 34.779549225460684)	(95, 34.677013435136914)	(100, 33.816107481095365)	(105, 34.27338374568681)	(110, 34.316887159533074)	(115, 34.00308641068938)	(120, 34.233151750972766)	(125, 34.29924968798179)	(130, 34.52398502312606)	(135, 34.17758167535423)	(140, 33.20219073489464)	(145, 33.74256222010131)	(150, 33.60928566184568)	(155, 33.03468467807063)	(160, 33.2295896042875)	(165, 33.352708318038324)	(170, 32.50795683136333)	(175, 32.35101093899126)	(180, 32.65140298069158)	(185, 32.44972028485427)	(190, 31.786993612803762)	(195, 31.033480654871152)	(200, 30.16384993759636)	(205, 29.44966448865722)	(210, 29.109478011893394)	(215, 29.232631965347622)	(220, 27.36261361133544)	(225, 26.109759929520596)	(230, 26.681529990455914)	(235, 25.605353498274724)	(240, 24.88542985096542)	(245, 26.304987886351956)	(250, 24.787525144996696)	(255, 21.539199765068645)	(260, 19.21180823728067)	(265, 22.13226635342486)	(270, 20.76339769473607)	(275, 20.335343954188385)	(280, 17.332891858160192)	(285, 16.810733426326994)	(290, 15.25361720872183)	(295, 18.181396373247193)	(300, 13.488099258497908)
NGS001-23_18S_47_S140_L001_R1_001	(1, 33.90209191320009)	(2, 33.87899396733039)	(3, 33.83107265651566)	(4, 33.832861047090084)	(5, 33.87289832621755)	(6, 37.61096207856324)	(7, 37.79896978627473)	(8, 37.472752232339644)	(9, 37.53707132151988)	(10, 36.85900429465624)	(15, 37.59521416606843)	(20, 37.7546781526681)	(25, 37.65336456719688)	(30, 37.714615684940995)	(35, 37.69732371128827)	(40, 37.59916373849195)	(45, 37.59239052404882)	(50, 37.49287036687195)	(55, 37.51996826236446)	(60, 37.62071762320374)	(65, 37.584048059848115)	(70, 37.52813188750771)	(75, 37.66039722421632)	(80, 37.55983677787433)	(85, 37.51414213926777)	(90, 36.96078638808076)	(95, 36.97102555383434)	(100, 36.51328824573998)	(105, 36.28927595370335)	(110, 36.964977771060816)	(115, 36.53043412551479)	(120, 36.252596314907876)	(125, 35.99753907381519)	(130, 36.0764549564867)	(135, 35.92783466203197)	(140, 35.804838729990806)	(145, 35.915376380650116)	(150, 35.83112051485497)	(155, 35.784206748025845)	(160, 35.076218183650084)	(165, 35.142222390146216)	(170, 34.15741363458899)	(175, 34.66571957532021)	(180, 35.00358685658871)	(185, 34.217322199972294)	(190, 34.18138058714626)	(195, 34.18175337842092)	(200, 34.07574211911689)	(205, 33.48431883729423)	(210, 34.04256369567133)	(215, 32.85788340197227)	(220, 32.876762257402305)	(225, 33.28463117592977)	(230, 32.967836677119934)	(235, 32.7442802987368)	(240, 31.442029697358976)	(245, 31.529751514464557)	(250, 29.940781602246823)	(255, 29.289384264681804)	(260, 28.982896940844576)	(265, 27.56307603178801)	(270, 25.73012178687926)	(275, 26.10106673719475)	(280, 25.903913048954042)	(285, 25.10741174544401)	(290, 24.0150627825846)	(295, 24.09026838452916)	(300, 19.541070011712698)
NGS001-23_18S_47_S140_L001_R2_001	(1, 32.08264379541819)	(2, 33.26611755519452)	(3, 33.236067555824235)	(4, 33.14215186206723)	(5, 33.347665646528384)	(6, 37.23232704877773)	(7, 36.904824876261)	(8, 37.242541025931665)	(9, 36.96251936373597)	(10, 36.993612171131346)	(15, 36.483228170929834)	(20, 36.68956058487929)	(25, 36.0440699739298)	(30, 36.526504703970986)	(35, 35.28736917671062)	(40, 36.2416644626642)	(45, 35.03950579967507)	(50, 35.07632901348849)	(55, 35.33132076422212)	(60, 35.02897444616566)	(65, 34.460183121119385)	(70, 35.27033160791426)	(75, 34.524507248019546)	(80, 33.945300437022205)	(85, 34.31088021561441)	(90, 35.23490384252087)	(95, 34.88682762181837)	(100, 33.34682686616038)	(105, 34.18649135401317)	(110, 34.778257200790925)	(115, 33.62172264832937)	(120, 33.99390687774713)	(125, 34.57284920844826)	(130, 34.6157554690747)	(135, 34.62326167176736)	(140, 33.91138902532714)	(145, 34.06257603808516)	(150, 34.38230752761301)	(155, 32.78190451001876)	(160, 33.22930189796098)	(165, 33.89936902557903)	(170, 32.89803402979811)	(175, 32.77196005088097)	(180, 32.32192541655647)	(185, 31.012465837961734)	(190, 30.669742194682687)	(195, 30.676573342904998)	(200, 30.14632057530762)	(205, 28.833420234002084)	(210, 28.25696149922545)	(215, 27.456838075087216)	(220, 25.57133285474994)	(225, 25.705484817571566)	(230, 27.70454276394504)	(235, 25.40784121106787)	(240, 25.668961348093852)	(245, 24.876051938892456)	(250, 24.299857684412036)	(255, 20.37704562914825)	(260, 19.79519653404869)	(265, 21.00409314744147)	(270, 20.16487197894233)	(275, 19.356894749436403)	(280, 17.23419856173096)	(285, 15.852815455724741)	(290, 15.367529376204327)	(295, 17.873261042052366)	(300, 13.356267553305374)
