Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS001-23_18S_41_S104_L001_R1_001	(17.0, 2.0)	(18.0, 9.0)	(19.0, 19.0)	(20.0, 83.0)	(21.0, 134.0)	(22.0, 282.0)	(23.0, 550.0)	(24.0, 758.0)	(25.0, 1082.0)	(26.0, 1207.0)	(27.0, 1425.0)	(28.0, 1670.0)	(29.0, 2115.0)	(30.0, 2767.0)	(31.0, 3529.0)	(32.0, 4873.0)	(33.0, 7150.0)	(34.0, 10977.0)	(35.0, 19152.0)	(36.0, 34987.0)	(37.0, 19778.0)															
NGS001-23_18S_41_S104_L001_R2_001	(11.0, 6.0)	(12.0, 14.0)	(13.0, 69.0)	(14.0, 181.0)	(15.0, 213.0)	(16.0, 480.0)	(17.0, 867.0)	(18.0, 1180.0)	(19.0, 1411.0)	(20.0, 1564.0)	(21.0, 1630.0)	(22.0, 1807.0)	(23.0, 1883.0)	(24.0, 2172.0)	(25.0, 2417.0)	(26.0, 2772.0)	(27.0, 3364.0)	(28.0, 4029.0)	(29.0, 5213.0)	(30.0, 7105.0)	(31.0, 9771.0)	(32.0, 13829.0)	(33.0, 18150.0)	(34.0, 19597.0)	(35.0, 11489.0)	(36.0, 1336.0)										
NGS001-23_18S_42_S110_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 37.0)	(20.0, 65.0)	(21.0, 135.0)	(22.0, 263.0)	(23.0, 501.0)	(24.0, 859.0)	(25.0, 1055.0)	(26.0, 1197.0)	(27.0, 1400.0)	(28.0, 1749.0)	(29.0, 2203.0)	(30.0, 2900.0)	(31.0, 3875.0)	(32.0, 5422.0)	(33.0, 8071.0)	(34.0, 12760.0)	(35.0, 21480.0)	(36.0, 34710.0)	(37.0, 15335.0)													
NGS001-23_18S_42_S110_L001_R2_001	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 9.0)	(13.0, 70.0)	(14.0, 170.0)	(15.0, 197.0)	(16.0, 275.0)	(17.0, 503.0)	(18.0, 790.0)	(19.0, 990.0)	(20.0, 1131.0)	(21.0, 1307.0)	(22.0, 1353.0)	(23.0, 1551.0)	(24.0, 1678.0)	(25.0, 1996.0)	(26.0, 2218.0)	(27.0, 2751.0)	(28.0, 3335.0)	(29.0, 4407.0)	(30.0, 6080.0)	(31.0, 8618.0)	(32.0, 12939.0)	(33.0, 18419.0)	(34.0, 23220.0)	(35.0, 17205.0)	(36.0, 2805.0)	(37.0, 4.0)					
NGS001-23_18S_43_S116_L001_R1_001	(18.0, 4.0)	(19.0, 24.0)	(20.0, 63.0)	(21.0, 101.0)	(22.0, 166.0)	(23.0, 288.0)	(24.0, 493.0)	(25.0, 752.0)	(26.0, 789.0)	(27.0, 944.0)	(28.0, 1218.0)	(29.0, 1532.0)	(30.0, 1939.0)	(31.0, 2506.0)	(32.0, 3600.0)	(33.0, 5404.0)	(34.0, 8785.0)	(35.0, 15253.0)	(36.0, 27301.0)	(37.0, 12748.0)																
NGS001-23_18S_43_S116_L001_R2_001	(11.0, 3.0)	(12.0, 13.0)	(13.0, 66.0)	(14.0, 136.0)	(15.0, 156.0)	(16.0, 246.0)	(17.0, 431.0)	(18.0, 600.0)	(19.0, 770.0)	(20.0, 806.0)	(21.0, 920.0)	(22.0, 1024.0)	(23.0, 1152.0)	(24.0, 1356.0)	(25.0, 1494.0)	(26.0, 1761.0)	(27.0, 2128.0)	(28.0, 2720.0)	(29.0, 3400.0)	(30.0, 4600.0)	(31.0, 6553.0)	(32.0, 9554.0)	(33.0, 13537.0)	(34.0, 16328.0)	(35.0, 12321.0)	(36.0, 1835.0)										
NGS001-23_18S_44_S122_L001_R1_001	(17.0, 3.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 73.0)	(21.0, 126.0)	(22.0, 250.0)	(23.0, 455.0)	(24.0, 643.0)	(25.0, 715.0)	(26.0, 815.0)	(27.0, 973.0)	(28.0, 1090.0)	(29.0, 1388.0)	(30.0, 1834.0)	(31.0, 2276.0)	(32.0, 3041.0)	(33.0, 4666.0)	(34.0, 7219.0)	(35.0, 12069.0)	(36.0, 20663.0)	(37.0, 9780.0)															
NGS001-23_18S_44_S122_L001_R2_001	(11.0, 2.0)	(12.0, 11.0)	(13.0, 73.0)	(14.0, 123.0)	(15.0, 141.0)	(16.0, 317.0)	(17.0, 649.0)	(18.0, 973.0)	(19.0, 1136.0)	(20.0, 1154.0)	(21.0, 1081.0)	(22.0, 1186.0)	(23.0, 1285.0)	(24.0, 1411.0)	(25.0, 1671.0)	(26.0, 1807.0)	(27.0, 2275.0)	(28.0, 2749.0)	(29.0, 3594.0)	(30.0, 4656.0)	(31.0, 6404.0)	(32.0, 8457.0)	(33.0, 10416.0)	(34.0, 10258.0)	(35.0, 5612.0)	(36.0, 664.0)										
NGS001-23_18S_47_S140_L001_R1_001	(17.0, 4.0)	(18.0, 6.0)	(19.0, 19.0)	(20.0, 75.0)	(21.0, 151.0)	(22.0, 487.0)	(23.0, 951.0)	(24.0, 1003.0)	(25.0, 1007.0)	(26.0, 1079.0)	(27.0, 1297.0)	(28.0, 1595.0)	(29.0, 1886.0)	(30.0, 2383.0)	(31.0, 3074.0)	(32.0, 4418.0)	(33.0, 6470.0)	(34.0, 9976.0)	(35.0, 15644.0)	(36.0, 20701.0)	(37.0, 7175.0)															
NGS001-23_18S_47_S140_L001_R2_001	(11.0, 2.0)	(12.0, 27.0)	(13.0, 101.0)	(14.0, 154.0)	(15.0, 173.0)	(16.0, 400.0)	(17.0, 581.0)	(18.0, 854.0)	(19.0, 1209.0)	(20.0, 1340.0)	(21.0, 1312.0)	(22.0, 1372.0)	(23.0, 1502.0)	(24.0, 1599.0)	(25.0, 1958.0)	(26.0, 2226.0)	(27.0, 2639.0)	(28.0, 3505.0)	(29.0, 4573.0)	(30.0, 6590.0)	(31.0, 8791.0)	(32.0, 11150.0)	(33.0, 12323.0)	(34.0, 9808.0)	(35.0, 4555.0)	(36.0, 653.0)	(37.0, 4.0)									
NGS001-23_18S_48_S146_L001_R1_001	(18.0, 9.0)	(19.0, 16.0)	(20.0, 62.0)	(21.0, 111.0)	(22.0, 189.0)	(23.0, 371.0)	(24.0, 735.0)	(25.0, 910.0)	(26.0, 1012.0)	(27.0, 1249.0)	(28.0, 1519.0)	(29.0, 1855.0)	(30.0, 2473.0)	(31.0, 3187.0)	(32.0, 4480.0)	(33.0, 6665.0)	(34.0, 10578.0)	(35.0, 18490.0)	(36.0, 32781.0)	(37.0, 17040.0)																
NGS001-23_18S_48_S146_L001_R2_001	(11.0, 2.0)	(12.0, 13.0)	(13.0, 79.0)	(14.0, 160.0)	(15.0, 172.0)	(16.0, 349.0)	(17.0, 569.0)	(18.0, 832.0)	(19.0, 1061.0)	(20.0, 1129.0)	(21.0, 1263.0)	(22.0, 1282.0)	(23.0, 1479.0)	(24.0, 1667.0)	(25.0, 1914.0)	(26.0, 2176.0)	(27.0, 2683.0)	(28.0, 3266.0)	(29.0, 4082.0)	(30.0, 5502.0)	(31.0, 8087.0)	(32.0, 11597.0)	(33.0, 16953.0)	(34.0, 20474.0)	(35.0, 14691.0)	(36.0, 2246.0)	(37.0, 4.0)									
NGS069-23_18S_29_S98_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 23.0)	(21.0, 23.0)	(22.0, 29.0)	(23.0, 35.0)	(24.0, 72.0)	(25.0, 84.0)	(26.0, 110.0)	(27.0, 125.0)	(28.0, 169.0)	(29.0, 226.0)	(30.0, 290.0)	(31.0, 355.0)	(32.0, 500.0)	(33.0, 702.0)	(34.0, 1036.0)	(35.0, 1934.0)	(36.0, 5072.0)	(37.0, 21124.0)														
NGS069-23_18S_29_S98_L001_R2_001	(12.0, 4.0)	(13.0, 26.0)	(14.0, 29.0)	(15.0, 23.0)	(16.0, 32.0)	(17.0, 55.0)	(18.0, 111.0)	(19.0, 162.0)	(20.0, 214.0)	(21.0, 229.0)	(22.0, 225.0)	(23.0, 268.0)	(24.0, 294.0)	(25.0, 329.0)	(26.0, 356.0)	(27.0, 445.0)	(28.0, 569.0)	(29.0, 603.0)	(30.0, 863.0)	(31.0, 1175.0)	(32.0, 1858.0)	(33.0, 3183.0)	(34.0, 5649.0)	(35.0, 9041.0)	(36.0, 6077.0)	(37.0, 102.0)										
NGS069-23_18S_30_S102_L001_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 12.0)	(18.0, 16.0)	(19.0, 20.0)	(20.0, 86.0)	(21.0, 69.0)	(22.0, 106.0)	(23.0, 265.0)	(24.0, 523.0)	(25.0, 594.0)	(26.0, 701.0)	(27.0, 796.0)	(28.0, 921.0)	(29.0, 1307.0)	(30.0, 1626.0)	(31.0, 2314.0)	(32.0, 3140.0)	(33.0, 4394.0)	(34.0, 7274.0)	(35.0, 13969.0)	(36.0, 36099.0)	(37.0, 117198.0)												
NGS069-23_18S_30_S102_L001_R2_001	(10.0, 1.0)	(11.0, 5.0)	(12.0, 49.0)	(13.0, 248.0)	(14.0, 225.0)	(15.0, 146.0)	(16.0, 231.0)	(17.0, 443.0)	(18.0, 630.0)	(19.0, 849.0)	(20.0, 980.0)	(21.0, 1128.0)	(22.0, 1238.0)	(23.0, 1358.0)	(24.0, 1615.0)	(25.0, 1817.0)	(26.0, 1982.0)	(27.0, 2415.0)	(28.0, 2863.0)	(29.0, 3563.0)	(30.0, 4660.0)	(31.0, 6676.0)	(32.0, 10632.0)	(33.0, 18410.0)	(34.0, 33587.0)	(35.0, 55994.0)	(36.0, 38948.0)	(37.0, 748.0)								
NGS069-23_18S_31_S106_L001_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 14.0)	(21.0, 13.0)	(22.0, 18.0)	(23.0, 28.0)	(24.0, 50.0)	(25.0, 59.0)	(26.0, 91.0)	(27.0, 88.0)	(28.0, 135.0)	(29.0, 163.0)	(30.0, 224.0)	(31.0, 280.0)	(32.0, 398.0)	(33.0, 582.0)	(34.0, 845.0)	(35.0, 1648.0)	(36.0, 4413.0)	(37.0, 16992.0)												
NGS069-23_18S_31_S106_L001_R2_001	(12.0, 5.0)	(13.0, 30.0)	(14.0, 36.0)	(15.0, 31.0)	(16.0, 38.0)	(17.0, 40.0)	(18.0, 81.0)	(19.0, 104.0)	(20.0, 133.0)	(21.0, 160.0)	(22.0, 167.0)	(23.0, 205.0)	(24.0, 210.0)	(25.0, 227.0)	(26.0, 298.0)	(27.0, 328.0)	(28.0, 376.0)	(29.0, 466.0)	(30.0, 581.0)	(31.0, 883.0)	(32.0, 1369.0)	(33.0, 2324.0)	(34.0, 4336.0)	(35.0, 7900.0)	(36.0, 5608.0)	(37.0, 110.0)										
NGS069-23_18S_32_S110_L001_R1_001	(17.0, 2.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 8.0)	(23.0, 26.0)	(24.0, 29.0)	(25.0, 50.0)	(26.0, 43.0)	(27.0, 52.0)	(28.0, 78.0)	(29.0, 102.0)	(30.0, 149.0)	(31.0, 166.0)	(32.0, 255.0)	(33.0, 373.0)	(34.0, 610.0)	(35.0, 1250.0)	(36.0, 3205.0)	(37.0, 7295.0)															
