Sample	Unique Reads	Duplicate Reads
NGS001-23_18S_41_S104_L001_R1_001	1602.0	110947.0
NGS001-23_18S_41_S104_L001_R2_001	10063.0	102486.0
NGS001-23_18S_42_S110_L001_R1_001	1501.0	112525.0
NGS001-23_18S_42_S110_L001_R2_001	8180.0	105846.0
NGS001-23_18S_43_S116_L001_R1_001	1219.0	82691.0
NGS001-23_18S_43_S116_L001_R2_001	6113.0	77797.0
NGS001-23_18S_44_S122_L001_R1_001	1152.0	66953.0
NGS001-23_18S_44_S122_L001_R2_001	7723.0	60382.0
NGS001-23_18S_47_S140_L001_R1_001	1067.0	78334.0
NGS001-23_18S_47_S140_L001_R2_001	6966.0	72435.0
NGS001-23_18S_48_S146_L001_R1_001	1415.0	102317.0
NGS001-23_18S_48_S146_L001_R2_001	7876.0	95856.0
NGS069-23_18S_29_S98_L001_R1_001	478.0	31444.0
NGS069-23_18S_29_S98_L001_R2_001	2428.0	29494.0
NGS069-23_18S_30_S102_L001_R1_001	1313.0	190128.0
NGS069-23_18S_30_S102_L001_R2_001	10351.0	181090.0
NGS069-23_18S_31_S106_L001_R1_001	391.0	25655.0
NGS069-23_18S_31_S106_L001_R2_001	1880.0	24166.0
NGS069-23_18S_32_S110_L001_R1_001	329.0	13376.0
NGS069-23_18S_32_S110_L001_R2_001	1056.0	12649.0
NGS069-23_18S_35_S89_L001_R1_001	567.0	45248.0
NGS069-23_18S_35_S89_L001_R2_001	3452.0	42363.0
NGS069-23_18S_36_S94_L001_R1_001	631.0	43090.0
NGS069-23_18S_36_S94_L001_R2_001	3488.0	40233.0
NGS069-24-18S-1_S1_L001_R1_001	884.0	94111.0
NGS069-24-18S-1_S1_L001_R2_001	7190.0	87805.0
NGS069-24-18S-2_S7_L001_R1_001	779.0	85362.0
NGS069-24-18S-2_S7_L001_R2_001	5901.0	80240.0
NGS069-24-18S-3_S12_L001_R1_001	887.0	86104.0
NGS069-24-18S-3_S12_L001_R2_001	6477.0	80514.0
NGS069-24-18S-4_S17_L001_R1_001	846.0	92386.0
NGS069-24-18S-4_S17_L001_R2_001	7296.0	85936.0
NGS069-24-18S-5_S21_L001_R1_001	761.0	75894.0
NGS069-24-18S-5_S21_L001_R2_001	5668.0	70987.0
NGS069-24-18S-6_S25_L001_R1_001	871.0	78250.0
NGS069-24-18S-6_S25_L001_R2_001	6068.0	73053.0
NGS069-24-18S-7_S30_L001_R1_001	869.0	91879.0
NGS069-24-18S-7_S30_L001_R2_001	5237.0	87511.0
NGS069-24-18S-8_S35_L001_R1_001	818.0	76018.0
NGS069-24-18S-8_S35_L001_R2_001	5108.0	71728.0
NGS069-24-18S-9_S2_L001_R1_001	813.0	94113.0
NGS069-24-18S-9_S2_L001_R2_001	5417.0	89509.0
