Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_18S_41_S104_L001_R1_001	(1.0, 0.9675785657802379)	(2.0, 0.29498262978791456)	(3.0, 0.19458191543238945)	(4.0, 0.1386062959244418)	(5.0, 0.1155052466037015)	(6.0, 0.11195123901589529)	(7.0, 0.08085367262259105)	(8.0, 0.10662022763418601)	(9.0, 0.09595820487076741)	('>10', 2.0941989711148032)	('>50', 0.9986761321735421)	('>100', 2.9498262978791456)	('>500', 3.6188682262836633)	('>1k', 0.0)	('>5k', 4.610436343281593)	('>10k+', 83.62135603159513)
NGS001-23_18S_41_S104_L001_R2_001	(1.0, 7.537161591839999)	(2.0, 1.1426134394796932)	(3.0, 0.6370558601142613)	(4.0, 0.4833450319416432)	(5.0, 0.42203840105198626)	(6.0, 0.2932056259940115)	(7.0, 0.36073177016232927)	(8.0, 0.2061324400927596)	(9.0, 0.159930341451279)	('>10', 4.066673182347244)	('>50', 1.9191640974153479)	('>100', 5.671307608241744)	('>500', 1.386062959244418)	('>1k', 14.981030484500085)	('>5k', 11.989444597464216)	('>10k+', 48.74410256865899)
NGS001-23_18S_42_S110_L001_R1_001	(1.0, 0.9155806570431305)	(2.0, 0.24205005875852875)	(3.0, 0.1525967761738551)	(4.0, 0.11927104344623156)	(5.0, 0.07454440215389473)	(6.0, 0.07892936698647676)	(7.0, 0.11050111378106747)	(8.0, 0.10523915598196903)	(9.0, 0.055250556890533736)	('>10', 2.3371862557662286)	('>50', 0.6726536053180854)	('>100', 2.8256713381158685)	('>500', 2.7879606405556627)	('>1k', 3.0992931436689877)	('>5k', 0.0)	('>10k+', 86.42327188535947)
NGS001-23_18S_42_S110_L001_R2_001	(1.0, 5.9100556013540775)	(2.0, 0.9559223335028852)	(3.0, 0.5998631890972235)	(4.0, 0.47708417378492624)	(5.0, 0.3683370459368916)	(6.0, 0.3051935523477102)	(7.0, 0.31308648904635783)	(8.0, 0.28765369301738203)	(9.0, 0.15785873397295352)	('>10', 3.501832915300019)	('>50', 2.230193113851227)	('>100', 5.416308561205339)	('>500', 0.7963096135968989)	('>1k', 21.890621437216073)	('>5k', 10.819462227912933)	('>10k+', 45.9702173188571)
NGS001-23_18S_43_S116_L001_R1_001	(1.0, 0.9974973185555952)	(2.0, 0.2884042426409248)	(3.0, 0.1465856274579907)	(4.0, 0.14301036825169824)	(5.0, 0.148969133595519)	(6.0, 0.08580622095101895)	(7.0, 0.12513407222023595)	(8.0, 0.01906804910022643)	(9.0, 0.0321773328566321)	('>10', 2.3882731498033607)	('>50', 1.3800500536288882)	('>100', 3.2272673102133242)	('>500', 3.1152425217494937)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 87.90251459897509)
NGS001-23_18S_43_S116_L001_R2_001	(1.0, 6.108926230485044)	(2.0, 0.9224168752234536)	(3.0, 0.604218805863425)	(4.0, 0.3670599451793588)	(5.0, 0.2860207365033965)	(6.0, 0.2502681444404719)	(7.0, 0.2752949588845191)	(8.0, 0.14301036825169824)	(9.0, 0.09653199856989632)	('>10', 3.739721129781909)	('>50', 2.7398403050887854)	('>100', 5.776427124299845)	('>500', 1.2727922774401146)	('>1k', 17.34834942199976)	('>5k', 0.0)	('>10k+', 60.06912167798832)
NGS001-23_18S_44_S122_L001_R1_001	(1.0, 1.1717201380221718)	(2.0, 0.3494603920417003)	(3.0, 0.1717935540709199)	(4.0, 0.15857866529623374)	(5.0, 0.11012407312238455)	(6.0, 0.09690918434769841)	(7.0, 0.1130607150723148)	(8.0, 0.08222597459804713)	(9.0, 0.13214888774686148)	('>10', 2.5431319286396006)	('>50', 0.8119814991557154)	('>100', 2.8632259011819983)	('>500', 4.535643491667279)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 86.85999559503708)
NGS001-23_18S_44_S122_L001_R2_001	(1.0, 9.51325159679906)	(2.0, 1.4683209749651274)	(3.0, 0.8369429557301226)	(4.0, 0.6871742162836796)	(5.0, 0.4625211071140152)	(6.0, 0.38763673739079363)	(7.0, 0.32890389839218853)	(8.0, 0.38763673739079363)	(9.0, 0.30394244181778135)	('>10', 5.1244402026282945)	('>50', 2.9248953821305337)	('>100', 8.108068423757434)	('>500', 11.35452609940533)	('>1k', 12.590852360325966)	('>5k', 9.912634901989575)	('>10k+', 35.608251963879304)
NGS001-23_18S_47_S140_L001_R1_001	(1.0, 0.9093084469968892)	(2.0, 0.2821123159657939)	(3.0, 0.12846185816299543)	(4.0, 0.12594299819901514)	(5.0, 0.12594299819901514)	(6.0, 0.12846185816299543)	(7.0, 0.07052807899144847)	(8.0, 0.1007543985592121)	(9.0, 0.09067895870329089)	('>10', 2.4155867054571103)	('>50', 0.8274454981675293)	('>100', 2.5339731237641843)	('>500', 3.151093814939358)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.10970894573116)
NGS001-23_18S_47_S140_L001_R2_001	(1.0, 7.201420637019684)	(2.0, 1.156156723466959)	(3.0, 0.8123323383836475)	(4.0, 0.5793377917154696)	(5.0, 0.5037719927960606)	(6.0, 0.4156118940567499)	(7.0, 0.41435246407475973)	(8.0, 0.23173511668618785)	(9.0, 0.17002304756867043)	('>10', 4.693895542877294)	('>50', 1.8526215035075126)	('>100', 5.390360322917847)	('>500', 2.855127769171673)	('>1k', 27.41023412803365)	('>5k', 0.0)	('>10k+', 46.31301872772383)
NGS001-23_18S_48_S146_L001_R1_001	(1.0, 0.9620946284656614)	(2.0, 0.2757104847106004)	(3.0, 0.1301430609647939)	(4.0, 0.06940963251455674)	(5.0, 0.11086260748852812)	(6.0, 0.08097790460031619)	(7.0, 0.10122238075039525)	(8.0, 0.12339490224810089)	(9.0, 0.07808583657887634)	('>10', 2.2336405352253887)	('>50', 0.9746269232252343)	('>100', 2.0948212701962747)	('>500', 2.9354490417614625)	('>1k', 1.0064396714610728)	('>5k', 0.0)	('>10k+', 88.82312111980873)
