Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
NGS001-23_18S_41_S104_L001_R1_001	(301, 112549.0)																											
NGS001-23_18S_41_S104_L001_R2_001	(301, 112549.0)																											
NGS001-23_18S_42_S110_L001_R1_001	(301, 114026.0)																											
NGS001-23_18S_42_S110_L001_R2_001	(301, 114026.0)																											
NGS001-23_18S_43_S116_L001_R1_001	(301, 83910.0)																											
NGS001-23_18S_43_S116_L001_R2_001	(301, 83910.0)																											
NGS001-23_18S_44_S122_L001_R1_001	(301, 68105.0)																											
NGS001-23_18S_44_S122_L001_R2_001	(301, 68105.0)																											
NGS001-23_18S_47_S140_L001_R1_001	(301, 79401.0)																											
NGS001-23_18S_47_S140_L001_R2_001	(301, 79401.0)																											
NGS001-23_18S_48_S146_L001_R1_001	(301, 103732.0)																											
NGS001-23_18S_48_S146_L001_R2_001	(301, 103732.0)																											
NGS069-23_18S_29_S98_L001_R1_001	(301, 31922.0)																											
NGS069-23_18S_29_S98_L001_R2_001	(301, 31922.0)																											
NGS069-23_18S_30_S102_L001_R1_001	(301, 191441.0)																											
NGS069-23_18S_30_S102_L001_R2_001	(301, 191441.0)																											
NGS069-23_18S_31_S106_L001_R1_001	(301, 26046.0)																											
NGS069-23_18S_31_S106_L001_R2_001	(301, 26046.0)																											
NGS069-23_18S_32_S110_L001_R1_001	(301, 13705.0)																											
NGS069-23_18S_32_S110_L001_R2_001	(301, 13705.0)																											
NGS069-23_18S_35_S89_L001_R1_001	(301, 45815.0)																											
NGS069-23_18S_35_S89_L001_R2_001	(301, 45815.0)																											
NGS069-23_18S_36_S94_L001_R1_001	(301, 43721.0)																											
NGS069-23_18S_36_S94_L001_R2_001	(301, 43721.0)																											
NGS069-24-18S-1_S1_L001_R1_001	(30, 609.0)	(40, 22.0)	(50, 3.0)	(60, 8.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 5.0)	(130, 0.0)	(140, 5.0)	(150, 0.0)	(160, 11.0)	(170, 0.0)	(180, 44.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 7.0)	(290, 4420.0)	(300, 89854.0)
NGS069-24-18S-1_S1_L001_R2_001	(30, 618.0)	(40, 22.0)	(50, 0.0)	(60, 2.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 5.0)	(130, 0.0)	(140, 5.0)	(150, 0.0)	(160, 9.0)	(170, 0.0)	(180, 42.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 2.0)	(280, 2.0)	(290, 9993.0)	(300, 84290.0)
NGS069-24-18S-2_S7_L001_R1_001	(30, 107.0)	(40, 7.0)	(50, 2.0)	(60, 5.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 21.0)	(170, 3.0)	(180, 0.0)	(190, 1.0)	(200, 9.0)	(210, 5.0)	(220, 0.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 24.0)	(290, 2245.0)	(300, 83706.0)
NGS069-24-18S-2_S7_L001_R2_001	(30, 111.0)	(40, 7.0)	(50, 2.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 20.0)	(170, 3.0)	(180, 0.0)	(190, 0.0)	(200, 9.0)	(210, 5.0)	(220, 0.0)	(230, 2.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 2.0)	(280, 9.0)	(290, 10713.0)	(300, 75258.0)
NGS069-24-18S-3_S12_L001_R1_001	(30, 174.0)	(40, 19.0)	(50, 1.0)	(60, 1.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 16.0)	(140, 1.0)	(150, 1.0)	(160, 28.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 7.0)	(210, 27.0)	(220, 32.0)	(230, 0.0)	(240, 0.0)	(250, 17.0)	(260, 0.0)	(270, 5.0)	(280, 5.0)	(290, 2440.0)	(300, 84216.0)
NGS069-24-18S-3_S12_L001_R2_001	(30, 176.0)	(40, 21.0)	(50, 1.0)	(60, 1.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 16.0)	(140, 1.0)	(150, 1.0)	(160, 30.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 7.0)	(210, 26.0)	(220, 22.0)	(230, 0.0)	(240, 0.0)	(250, 6.0)	(260, 0.0)	(270, 3.0)	(280, 1.0)	(290, 11201.0)	(300, 75477.0)
NGS069-24-18S-4_S17_L001_R1_001	(30, 296.0)	(40, 29.0)	(50, 3.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 11.0)	(160, 23.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 6.0)	(210, 0.0)	(220, 2.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 13.0)	(270, 140.0)	(280, 11.0)	(290, 5039.0)	(300, 87653.0)
NGS069-24-18S-4_S17_L001_R2_001	(30, 301.0)	(40, 29.0)	(50, 3.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 12.0)	(160, 23.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 6.0)	(210, 0.0)	(220, 2.0)	(230, 2.0)	(240, 0.0)	(250, 0.0)	(260, 7.0)	(270, 64.0)	(280, 5.0)	(290, 9282.0)	(300, 83494.0)
NGS069-24-18S-5_S21_L001_R1_001	(30, 161.0)	(40, 5.0)	(50, 6.0)	(60, 6.0)	(70, 0.0)	(80, 3.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 5.0)	(170, 0.0)	(180, 7.0)	(190, 1.0)	(200, 0.0)	(210, 2.0)	(220, 0.0)	(230, 18.0)	(240, 0.0)	(250, 0.0)	(260, 2.0)	(270, 0.0)	(280, 4.0)	(290, 4899.0)	(300, 71536.0)
NGS069-24-18S-5_S21_L001_R2_001	(30, 166.0)	(40, 6.0)	(50, 5.0)	(60, 0.0)	(70, 0.0)	(80, 3.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 5.0)	(170, 0.0)	(180, 7.0)	(190, 0.0)	(200, 0.0)	(210, 2.0)	(220, 0.0)	(230, 14.0)	(240, 0.0)	(250, 0.0)	(260, 1.0)	(270, 0.0)	(280, 4.0)	(290, 9572.0)	(300, 66870.0)
NGS069-24-18S-6_S25_L001_R1_001	(30, 133.0)	(40, 11.0)	(50, 6.0)	(60, 12.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 6.0)	(140, 5.0)	(150, 0.0)	(160, 30.0)	(170, 0.0)	(180, 14.0)	(190, 2.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 15.0)	(240, 3.0)	(250, 0.0)	(260, 0.0)	(270, 11.0)	(280, 14.0)	(290, 6346.0)	(300, 72511.0)
NGS069-24-18S-6_S25_L001_R2_001	(30, 137.0)	(40, 11.0)	(50, 6.0)	(60, 7.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 6.0)	(140, 6.0)	(150, 0.0)	(160, 26.0)	(170, 0.0)	(180, 14.0)	(190, 2.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 14.0)	(240, 2.0)	(250, 0.0)	(260, 0.0)	(270, 2.0)	(280, 6.0)	(290, 6672.0)	(300, 72208.0)
NGS069-24-18S-7_S30_L001_R1_001	(30, 113.0)	(40, 37.0)	(50, 5.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 21.0)	(210, 6.0)	(220, 0.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 1.0)	(280, 9.0)	(290, 4795.0)	(300, 87758.0)
NGS069-24-18S-7_S30_L001_R2_001	(30, 114.0)	(40, 38.0)	(50, 4.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 21.0)	(210, 6.0)	(220, 0.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 4.0)	(290, 16034.0)	(300, 76524.0)
NGS069-24-18S-8_S35_L001_R1_001	(30, 100.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 2.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 8.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 8.0)	(290, 3333.0)	(300, 73378.0)
NGS069-24-18S-8_S35_L001_R2_001	(30, 98.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 2.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 8.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 2.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 1.0)	(280, 3.0)	(290, 10274.0)	(300, 66447.0)
NGS069-24-18S-9_S2_L001_R1_001	(30, 67.0)	(40, 16.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 0.0)	(130, 1.0)	(140, 0.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 5.0)	(220, 1.0)	(230, 10.0)	(240, 1.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 17.0)	(290, 10307.0)	(300, 84498.0)
NGS069-24-18S-9_S2_L001_R2_001	(30, 68.0)	(40, 17.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 0.0)	(130, 1.0)	(140, 0.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 5.0)	(220, 1.0)	(230, 8.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 5.0)	(290, 13223.0)	(300, 81595.0)
