Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
NGS001-23_18S_41_S104_L001_R1_001	NGS001-23_18S_41_S104_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112549.0	0.0	301.0	42.0	1.423380038916383	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_41_S104_L001_R2_001	NGS001-23_18S_41_S104_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112549.0	0.0	301.0	39.0	8.940994589023447	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS001-23_18S_42_S110_L001_R1_001	NGS001-23_18S_42_S110_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114026.0	0.0	301.0	43.0	1.3154894497746128	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_42_S110_L001_R2_001	NGS001-23_18S_42_S110_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114026.0	0.0	301.0	39.0	7.173802466104222	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_43_S116_L001_R1_001	NGS001-23_18S_43_S116_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83910.0	0.0	301.0	43.0	1.4527469908235013	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_43_S116_L001_R2_001	NGS001-23_18S_43_S116_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83910.0	0.0	301.0	40.0	7.2851865093552615	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS001-23_18S_44_S122_L001_R1_001	NGS001-23_18S_44_S122_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68105.0	0.0	301.0	45.0	1.6915057631598267	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_44_S122_L001_R2_001	NGS001-23_18S_44_S122_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68105.0	0.0	301.0	40.0	11.339842889655678	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_47_S140_L001_R1_001	NGS001-23_18S_47_S140_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79401.0	0.0	301.0	50.0	1.3438117907834914	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_47_S140_L001_R2_001	NGS001-23_18S_47_S140_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79401.0	0.0	301.0	45.0	8.773189254543395	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_48_S146_L001_R1_001	NGS001-23_18S_48_S146_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103732.0	0.0	301.0	43.0	1.3640920834458026	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS001-23_18S_48_S146_L001_R2_001	NGS001-23_18S_48_S146_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103732.0	0.0	301.0	39.0	7.592642578953457	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS069-23_18S_29_S98_L001_R1_001	NGS069-23_18S_29_S98_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31922.0	0.0	301.0	42.0	1.4973999122861976	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS069-23_18S_29_S98_L001_R2_001	NGS069-23_18S_29_S98_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31922.0	0.0	301.0	39.0	7.606039721821942	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS069-23_18S_30_S102_L001_R1_001	NGS069-23_18S_30_S102_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	191441.0	0.0	301.0	43.0	0.685850993256408	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS069-23_18S_30_S102_L001_R2_001	NGS069-23_18S_30_S102_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	191441.0	0.0	301.0	39.0	5.406887761764721	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS069-23_18S_31_S106_L001_R1_001	NGS069-23_18S_31_S106_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26046.0	0.0	301.0	42.0	1.5011902019503955	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
NGS069-23_18S_31_S106_L001_R2_001	NGS069-23_18S_31_S106_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26046.0	0.0	301.0	39.0	7.2179989249788825	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
