Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
NGS001-23_18S_41_S104_L001_R1_001	98.57661996108362	42.0	301.0	301	41.66666666666667	0.112549
NGS001-23_18S_41_S104_L001_R2_001	91.05900541097655	39.0	301.0	301	41.66666666666667	0.112549
NGS001-23_18S_42_S110_L001_R1_001	98.68451055022538	43.0	301.0	301	41.66666666666667	0.11402599999999999
NGS001-23_18S_42_S110_L001_R2_001	92.82619753389578	39.0	301.0	301	50.0	0.11402599999999999
NGS001-23_18S_43_S116_L001_R1_001	98.5472530091765	43.0	301.0	301	41.66666666666667	0.08391
NGS001-23_18S_43_S116_L001_R2_001	92.71481349064474	40.0	301.0	301	41.66666666666667	0.08391
NGS001-23_18S_44_S122_L001_R1_001	98.30849423684018	45.0	301.0	301	41.66666666666667	0.068105
NGS001-23_18S_44_S122_L001_R2_001	88.66015711034433	40.0	301.0	301	50.0	0.068105
NGS001-23_18S_47_S140_L001_R1_001	98.65618820921651	50.0	301.0	301	41.66666666666667	0.079401
NGS001-23_18S_47_S140_L001_R2_001	91.2268107454566	45.0	301.0	301	50.0	0.079401
NGS001-23_18S_48_S146_L001_R1_001	98.6359079165542	43.0	301.0	301	41.66666666666667	0.10373199999999999
NGS001-23_18S_48_S146_L001_R2_001	92.40735742104654	39.0	301.0	301	41.66666666666667	0.10373199999999999
NGS069-23_18S_29_S98_L001_R1_001	98.5026000877138	42.0	301.0	301	41.66666666666667	0.031922
NGS069-23_18S_29_S98_L001_R2_001	92.39396027817806	39.0	301.0	301	41.66666666666667	0.031922
NGS069-23_18S_30_S102_L001_R1_001	99.31414900674359	43.0	301.0	301	41.66666666666667	0.191441
NGS069-23_18S_30_S102_L001_R2_001	94.59311223823528	39.0	301.0	301	41.66666666666667	0.191441
NGS069-23_18S_31_S106_L001_R1_001	98.4988097980496	42.0	301.0	301	41.66666666666667	0.026046
NGS069-23_18S_31_S106_L001_R2_001	92.78200107502111	39.0	301.0	301	50.0	0.026046
NGS069-23_18S_32_S110_L001_R1_001	97.59941627143378	42.0	301.0	301	41.66666666666667	0.013705
NGS069-23_18S_32_S110_L001_R2_001	92.29478292593944	39.0	301.0	301	50.0	0.013705
NGS069-23_18S_35_S89_L001_R1_001	98.7624140565317	43.0	301.0	301	33.33333333333333	0.045814999999999995
NGS069-23_18S_35_S89_L001_R2_001	92.46534977627415	39.0	301.0	301	41.66666666666667	0.045814999999999995
NGS069-23_18S_36_S94_L001_R1_001	98.55675762219528	44.0	301.0	301	41.66666666666667	0.043720999999999996
NGS069-23_18S_36_S94_L001_R2_001	92.0221403902015	40.0	301.0	301	50.0	0.043720999999999996
NGS069-24-18S-1_S1_L001_R1_001	99.06942470656351	46.0	298.809395231328	301	41.66666666666667	0.094995
NGS069-24-18S-1_S1_L001_R2_001	92.43118058845202	42.0	298.4312069056266	301	41.66666666666667	0.094995
NGS069-24-18S-2_S7_L001_R1_001	99.09566872917658	45.0	300.3974123820248	301	33.33333333333333	0.086141
NGS069-24-18S-2_S7_L001_R2_001	93.14960355695894	41.0	299.7665629607272	301	50.0	0.086141
NGS069-24-18S-3_S12_L001_R1_001	98.9803542895242	45.0	300.06809325102597	301	33.33333333333333	0.086991
NGS069-24-18S-3_S12_L001_R2_001	92.55440217953581	41.0	299.41534181696954	301	50.0	0.086991
NGS069-24-18S-4_S17_L001_R1_001	99.09258623648533	46.0	299.6011937961215	301	33.33333333333333	0.093232
NGS069-24-18S-4_S17_L001_R2_001	92.17436073451175	42.0	299.3176698987472	301	41.66666666666667	0.093232
NGS069-24-18S-5_S21_L001_R1_001	99.00724023220926	46.0	299.92122496901703	301	33.33333333333333	0.076655
NGS069-24-18S-5_S21_L001_R2_001	92.60583132215771	41.0	299.5313091122562	301	41.66666666666667	0.076655
NGS069-24-18S-6_S25_L001_R1_001	98.89915445962514	47.0	299.817823333881	301	41.66666666666667	0.079121
NGS069-24-18S-6_S25_L001_R2_001	92.33073393915649	42.0	299.80367411938676	301	41.66666666666667	0.079121
NGS069-24-18S-7_S30_L001_R1_001	99.06305257256221	44.0	300.1899016690387	301	41.66666666666667	0.092748
NGS069-24-18S-7_S30_L001_R2_001	94.35351705697158	40.0	299.400439901669	301	41.66666666666667	0.092748
NGS069-24-18S-8_S35_L001_R1_001	98.93539486698943	44.0	300.34305533864335	301	41.66666666666667	0.076836
NGS069-24-18S-8_S35_L001_R2_001	93.35207454838877	40.0	299.7654419803217	301	50.0	0.076836
NGS069-24-18S-9_S2_L001_R1_001	99.14354339169458	44.0	300.03933590375664	301	41.66666666666667	0.094926
NGS069-24-18S-9_S2_L001_R2_001	94.2934496344521	39.0	299.8382371531509	301	41.66666666666667	0.094926
