Module	Section	Sample Name	Source
Snippy	snippy	multiqc	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/multiqc_data_1/multiqc.log
FastQC	all_sections	NGS001-23_18S_41_S104_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_41_S104_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_41_S104_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_41_S104_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_42_S110_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_42_S110_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_42_S110_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_42_S110_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_43_S116_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_43_S116_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_43_S116_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_43_S116_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_44_S122_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_44_S122_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_44_S122_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_44_S122_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_47_S140_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_47_S140_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_47_S140_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_47_S140_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_48_S146_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_48_S146_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_18S_48_S146_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS001-23_18S_48_S146_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_18S_29_S98_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS069-23_18S_29_S98_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_18S_29_S98_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS069-23_18S_29_S98_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_18S_30_S102_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS069-23_18S_30_S102_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_18S_30_S102_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS069-23_18S_30_S102_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_18S_31_S106_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/58/2059b42e92498a922e2cf4ecb838d7/Pre_fastqc_results/NGS069-23_18S_31_S106_L001_R1_001_fastqc.zip
