.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Kmer Content
NGS001-23_ITS2_41_S55_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_41_S55_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_42_S61_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_42_S61_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.25
NGS001-23_ITS2_43_S67_L001_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_43_S67_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.25
NGS001-23_ITS2_44_S73_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_44_S73_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.5
NGS001-23_ITS2_47_S91_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS001-23_ITS2_47_S91_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.25
NGS001-23_ITS2_48_S97_L001_R1_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.5
NGS001-23_ITS2_48_S97_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.5
NGS069-23_ITS2_29_S45_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS069-23_ITS2_29_S45_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.25
NGS069-23_ITS2_30_S54_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.5
NGS069-23_ITS2_30_S54_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.5
NGS069-23_ITS2_31_S63_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.5
NGS069-23_ITS2_31_S63_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS069-23_ITS2_32_S72_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.5
NGS069-23_ITS2_32_S72_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.5	0.5
NGS069-23_ITS2_35_S26_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS069-23_ITS2_35_S26_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.5
NGS069-23_ITS2_36_S37_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS069-23_ITS2_36_S37_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25	0.25
NGS069-24-ITS2-1_S192_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-1_S192_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.5
NGS069-24-ITS2-2_S197_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-2_S197_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-3_S202_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-3_S202_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.5
NGS069-24-ITS2-4_S207_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-4_S207_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.5
NGS069-24-ITS2-5_S211_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-5_S211_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-6_S215_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-6_S215_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.25
NGS069-24-ITS2-7_S220_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0.5
NGS069-24-ITS2-7_S220_L001_R2_001	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1	0.5
