Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
NGS001-23_ITS2_41_S55_L001_R1_001	18.11873468478503	68.85720650478949
NGS001-23_ITS2_41_S55_L001_R2_001	57.42147471597237	35.73513031855652
NGS001-23_ITS2_42_S61_L001_R1_001	6.785565483079487	78.84935882598023
NGS001-23_ITS2_42_S61_L001_R2_001	41.301328642192495	50.87264478496366
NGS001-23_ITS2_43_S67_L001_R1_001	7.893579595426561	76.40979874799524
NGS001-23_ITS2_43_S67_L001_R2_001	34.4210771379792	56.642868229085856
NGS001-23_ITS2_44_S73_L001_R1_001	10.134658446059937	73.77534431459156
NGS001-23_ITS2_44_S73_L001_R2_001	35.825588172141956	54.91856078034417
NGS001-23_ITS2_47_S91_L001_R1_001	20.773440515929785	64.61838908190842
NGS001-23_ITS2_47_S91_L001_R2_001	43.61786679383246	48.47855212662084
NGS001-23_ITS2_48_S97_L001_R1_001	6.0181834629998185	79.72001085579885
NGS001-23_ITS2_48_S97_L001_R2_001	37.9998190700199	53.460285869368555
NGS069-23_ITS2_29_S45_L001_R1_001	16.096976531115654	69.59193741630838
NGS069-23_ITS2_29_S45_L001_R2_001	34.64655719219113	57.66015927831416
NGS069-23_ITS2_30_S54_L001_R1_001	6.710421477670192	80.1644856784021
NGS069-23_ITS2_30_S54_L001_R2_001	42.64878661426893	49.730583802617176
NGS069-23_ITS2_31_S63_L001_R1_001	11.414591596134713	76.15270338417086
NGS069-23_ITS2_31_S63_L001_R2_001	31.06404437720625	61.540663204808446
NGS069-23_ITS2_32_S72_L001_R1_001	5.83860104093504	81.05246096493599
NGS069-23_ITS2_32_S72_L001_R2_001	37.8536567795847	54.71572388207536
NGS069-23_ITS2_35_S26_L001_R1_001	11.407229558490064	77.1775376817394
NGS069-23_ITS2_35_S26_L001_R2_001	46.48259303721488	46.466586634653865
NGS069-23_ITS2_36_S37_L001_R1_001	16.182824141427503	74.00476127496363
NGS069-23_ITS2_36_S37_L001_R2_001	50.975400079354586	43.250451880262744
NGS069-24-ITS2-1_S192_L001_R1_001	11.702672263745265	71.1033753114228
NGS069-24-ITS2-1_S192_L001_R2_001	15.040442305723353	68.90208525306306
NGS069-24-ITS2-2_S197_L001_R1_001	12.173053762776766	70.72538060093257
NGS069-24-ITS2-2_S197_L001_R2_001	14.90596918136059	70.19423771732083
NGS069-24-ITS2-3_S202_L001_R1_001	11.190831764171158	72.03753003051753
NGS069-24-ITS2-3_S202_L001_R2_001	13.797805337315758	70.80709044867214
NGS069-24-ITS2-4_S207_L001_R1_001	9.428729894620078	73.46436494731003
NGS069-24-ITS2-4_S207_L001_R2_001	10.153216860787575	73.90113699389903
NGS069-24-ITS2-5_S211_L001_R1_001	9.501173172441113	74.2084895023921
NGS069-24-ITS2-5_S211_L001_R2_001	10.34220068866746	73.59600207209681
NGS069-24-ITS2-6_S215_L001_R1_001	7.410695154427745	75.5211362453703
NGS069-24-ITS2-6_S215_L001_R2_001	10.174783433836359	72.83663411797114
NGS069-24-ITS2-7_S220_L001_R1_001	14.121197913614253	68.70421379593266
NGS069-24-ITS2-7_S220_L001_R2_001	16.06692844165739	69.19650706206409
NGS069-24-ITS2-8_S225_L001_R1_001	10.790064059248047	73.54650377057597
NGS069-24-ITS2-8_S225_L001_R2_001	12.744276562964565	71.81663378111739
NGS069-24-ITS2-9_S193_L001_R1_001	11.234361361652603	72.84332266511487
NGS069-24-ITS2-9_S193_L001_R2_001	13.423770730288043	71.48312481815537
