Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_ITS2_41_S55_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.003341501447983961)	(7, 0.0022276676319893073)	(8, 0.0011138338159946536)	(9, 0.0011138338159946536)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0028959679215860993)	(35, 0.004009801737580753)	(40, 0.013143239028736911)	(45, 0.03586544887502784)	(50, 0.03764758298061929)	(55, 0.013811539318333706)	(60, 0.011138338159946536)	(65, 0.013588772555134774)	(70, 0.004678102027177546)	(75, 0.06282022722209846)	(80, 0.04678102027177545)	(85, 0.030519046558253507)	(90, 0.020271775451102696)	(95, 0.013588772555134774)	(100, 0.0427712185341947)	(105, 0.13187792381376698)	(110, 0.06549342838048562)	(115, 0.026732011583871687)	(120, 0.0020049008687903764)	(125, 0.0)	(130, 0.0013366005791935844)	(135, 0.0006683002895967922)	(140, 0.0)	(145, 0.00022276676319893073)	(150, 0.0)	(155, 0.00044553352639786146)	(160, 0.00044553352639786146)	(165, 0.00022276676319893073)	(170, 0.0)	(175, 0.006905769659166853)	(180, 0.0024504343951882376)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_ITS2_41_S55_L001_R2_001	(1, 0.010024504343951883)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0028959679215860993)	(15, 0.04544441969258187)	(20, 0.08353753619959903)	(25, 0.0652706616172867)	(30, 0.05836489195811985)	(35, 0.06972599688126531)	(40, 0.06994876364446424)	(45, 0.1550456671864558)	(50, 0.10670527957228781)	(55, 0.06504789485408777)	(60, 0.027177545110269548)	(65, 0.04544441969258187)	(70, 0.03675651592782357)	(75, 0.03764758298061929)	(80, 0.014702606371129428)	(85, 0.02561817776787703)	(90, 0.016484740476720872)	(95, 0.03631098240142571)	(100, 0.07061706393406104)	(105, 0.07574069948763644)	(110, 0.042325685007796834)	(115, 0.08777010470037871)	(120, 0.07195366451325462)	(125, 0.013811539318333706)	(130, 0.01915794163510804)	(135, 0.014257072844731567)	(140, 0.0008910670527957229)	(145, 0.0)	(150, 0.0024504343951882376)	(155, 0.0017821341055914458)	(160, 0.0006683002895967922)	(165, 0.00022276676319893073)	(170, 0.0)	(175, 0.0)	(180, 0.0011138338159946536)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0013366005791935844)	(300, 0.0022276676319893073)
NGS001-23_ITS2_42_S61_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008101476783482246)	(7, 0.005786769131058747)	(8, 0.003472061478635248)	(9, 0.0011573538262117495)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.002083236887181149)	(35, 0.003240590713392899)	(40, 0.009027359844451646)	(45, 0.02222119346326559)	(50, 0.02222119346326559)	(55, 0.007638535252997546)	(60, 0.0060182398963010975)	(65, 0.006944122957270496)	(70, 0.0030091199481505487)	(75, 0.04374797463080413)	(80, 0.029165316420536085)	(85, 0.019675015045599743)	(90, 0.012730892088329244)	(95, 0.008332947548724596)	(100, 0.029859728716263134)	(105, 0.1076339058376927)	(110, 0.049303272996620524)	(115, 0.01712883662793389)	(120, 0.002083236887181149)	(125, 0.0)	(130, 0.0013888245914540993)	(135, 0.0006944122957270497)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0004629415304846998)	(160, 0.0006944122957270497)	(165, 0.0002314707652423499)	(170, 0.0)	(175, 0.005555298365816397)	(180, 0.0018517661219387993)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_ITS2_42_S61_L001_R2_001	(1, 0.004629415304846998)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0013888245914540993)	(15, 0.031480024072959585)	(20, 0.062265635850192125)	(25, 0.04698856534419703)	(30, 0.038655617795472434)	(35, 0.04976621452710523)	(40, 0.04999768529234757)	(45, 0.1238368594046572)	(50, 0.08332947548724597)	(55, 0.04559974075274292)	(60, 0.013425304384056294)	(65, 0.027545021063839638)	(70, 0.01874913198463034)	(75, 0.02245266422850794)	(80, 0.007638535252997546)	(85, 0.013425304384056294)	(90, 0.011573538262117494)	(95, 0.01736030739317624)	(100, 0.04976621452710523)	(105, 0.05370121753622518)	(110, 0.025693254941900837)	(115, 0.06758946345076618)	(120, 0.05022915605758993)	(125, 0.007175593722512847)	(130, 0.008564418313966945)	(135, 0.006249710661543446)	(140, 0.0009258830609693996)	(145, 0.0002314707652423499)	(150, 0.002314707652423499)	(155, 0.002314707652423499)	(160, 0.0011573538262117495)	(165, 0.0009258830609693996)	(170, 0.0009258830609693996)	(175, 0.0)	(180, 0.0018517661219387993)	(185, 0.0002314707652423499)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0002314707652423499)	(220, 0.0)	(225, 0.0)	(230, 0.0002314707652423499)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0002314707652423499)	(295, 0.0006944122957270497)	(300, 0.0005786769131058747)
NGS001-23_ITS2_43_S67_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0012933933467846241)	(7, 0.009053753427492369)	(8, 0.0038801800403538726)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.002845465362926173)	(35, 0.0036215013709969476)	(40, 0.012675254798489317)	(45, 0.03699104971804025)	(50, 0.035956335040612554)	(55, 0.013451290806560092)	(60, 0.011640540121061617)	(65, 0.012416576129132393)	(70, 0.003104144032283098)	(75, 0.07061927673444049)	(80, 0.04604480314553262)	(85, 0.0313001189921879)	(90, 0.020176936209840138)	(95, 0.009829789435563143)	(100, 0.04319933778260645)	(105, 0.13735837342852708)	(110, 0.0729473847586528)	(115, 0.02405711625019401)	(120, 0.0020694293548553988)	(125, 0.0)	(130, 0.0023281080242123233)	(135, 0.0012933933467846241)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.00025867866935692485)	(160, 0.0005173573387138497)	(165, 0.0)	(170, 0.0)	(175, 0.007760360080707745)	(180, 0.0023281080242123233)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_ITS2_43_S67_L001_R2_001	(1, 0.0051735733871384965)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007760360080707745)	(15, 0.04914894717781571)	(20, 0.09364167830720678)	(25, 0.07010191939572663)	(30, 0.06182420197630503)	(35, 0.07424077810543742)	(40, 0.07113663407315433)	(45, 0.15132702157380104)	(50, 0.11200786383154845)	(55, 0.06311759532308965)	(60, 0.025609188266335556)	(65, 0.042164623105178746)	(70, 0.033886905685757154)	(75, 0.0364736923793264)	(80, 0.014744684153344715)	(85, 0.022763722903409386)	(90, 0.017848828185627812)	(95, 0.033628227016400225)	(100, 0.07553417145222205)	(105, 0.07993170883128978)	(110, 0.042164623105178746)	(115, 0.09519375032334833)	(120, 0.07243002741993895)	(125, 0.011899218790418541)	(130, 0.018883542863055512)	(135, 0.012416576129132393)	(140, 0.0005173573387138497)	(145, 0.0)	(150, 0.002845465362926173)	(155, 0.0038801800403538726)	(160, 0.0005173573387138497)	(165, 0.00025867866935692485)	(170, 0.0)	(175, 0.0)	(180, 0.0010347146774276994)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.001552072016141549)	(300, 0.0)
NGS001-23_ITS2_44_S73_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.007668476427103462)	(8, 0.0015336952854206928)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.000613478114168277)	(35, 0.0009202171712524157)	(40, 0.009508910769608294)	(45, 0.0294469494800773)	(50, 0.027913254194656605)	(55, 0.006748259255851048)	(60, 0.005828042084598632)	(65, 0.005521303027514493)	(70, 0.0036808686850096626)	(75, 0.053986074046808386)	(80, 0.038342382135517314)	(85, 0.026993037023404193)	(90, 0.019631299653384865)	(95, 0.014109996625870373)	(100, 0.03987607742093801)	(105, 0.12852366491825404)	(110, 0.05705346461764976)	(115, 0.018404343425048313)	(120, 0.000613478114168277)	(125, 0.0)	(130, 0.0003067390570841385)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.006748259255851048)	(180, 0.001226956228336554)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_ITS2_44_S73_L001_R2_001	(1, 0.0030673905708413856)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0018404343425048313)	(15, 0.03312781816508696)	(20, 0.06932302690101531)	(25, 0.051532161590135274)	(30, 0.044783902334284226)	(35, 0.05521303027514493)	(40, 0.05766694273181804)	(45, 0.14202018342995615)	(50, 0.09631606392441949)	(55, 0.05214563970430355)	(60, 0.01687064813962762)	(65, 0.03067390570841385)	(70, 0.023618907395478665)	(75, 0.023618907395478665)	(80, 0.008588693598355878)	(85, 0.015336952854206925)	(90, 0.01441673568295451)	(95, 0.025766080795067637)	(100, 0.05858715990307046)	(105, 0.06318824575933253)	(110, 0.03282107910800282)	(115, 0.0788319376706236)	(120, 0.06073433330265943)	(125, 0.006748259255851048)	(130, 0.01042912794086071)	(135, 0.006441520198766909)	(140, 0.0003067390570841385)	(145, 0.0)	(150, 0.001226956228336554)	(155, 0.0015336952854206928)	(160, 0.0003067390570841385)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0003067390570841385)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0003067390570841385)	(300, 0.0007668476427103464)
NGS001-23_ITS2_47_S91_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0022708177214614982)	(7, 0.009083270885845993)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0020437359493153486)	(35, 0.002724981265753798)	(40, 0.010218679746576743)	(45, 0.02747689442968413)	(50, 0.02634148556895338)	(55, 0.007266616708676795)	(60, 0.004995798987215297)	(65, 0.005904126075799895)	(70, 0.0031791448100460975)	(75, 0.05540795240366056)	(80, 0.03565183822694552)	(85, 0.026795649113245678)	(90, 0.019301950632422737)	(95, 0.010218679746576743)	(100, 0.04155596430274542)	(105, 0.13920112632558984)	(110, 0.0669891227831142)	(115, 0.019756114176715037)	(120, 0.002724981265753798)	(125, 0.0)	(130, 0.0018166541771691988)	(135, 0.0009083270885845994)	(140, 0.0)	(145, 0.00022708177214614985)	(150, 0.0)	(155, 0.00022708177214614985)	(160, 0.0004541635442922997)	(165, 0.00022708177214614985)	(170, 0.0)	(175, 0.006358289620092195)	(180, 0.0011354088607307491)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_ITS2_47_S91_L001_R2_001	(1, 0.005677044303653745)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002724981265753798)	(15, 0.03565183822694552)	(20, 0.08220360151690624)	(25, 0.05677044303653746)	(30, 0.04609759974566842)	(35, 0.0633558144287758)	(40, 0.0633558144287758)	(45, 0.16713218429956628)	(50, 0.11376796784522106)	(55, 0.05540795240366056)	(60, 0.017712378227399687)	(65, 0.03201852987260712)	(70, 0.02384358607534573)	(75, 0.02452483139178418)	(80, 0.007039534936530646)	(85, 0.01271657924018439)	(90, 0.013624906328768989)	(95, 0.02270817721461498)	(100, 0.06676204101096805)	(105, 0.07312033063106024)	(110, 0.03156436632831482)	(115, 0.08924313645343687)	(120, 0.0660807956945296)	(125, 0.006812453164384494)	(130, 0.009764516202284444)	(135, 0.006585371392238345)	(140, 0.00022708177214614985)	(145, 0.0)	(150, 0.0009083270885845994)	(155, 0.0015895724050230488)	(160, 0.0006812453164384495)	(165, 0.00022708177214614985)	(170, 0.0)	(175, 0.0)	(180, 0.0009083270885845994)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0006812453164384495)	(300, 0.0005677044303653746)
