Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_ITS2_41_S55_L001_R1_001	(1, 33.76202940521274)	(2, 33.91521496992649)	(3, 33.872354644687015)	(4, 33.953141011361105)	(5, 33.88689017598574)	(6, 37.82705502339051)	(7, 37.816351080418805)	(8, 37.82028291378926)	(9, 37.7075629316106)	(10, 37.658126531521496)	(15, 37.784640231677436)	(20, 37.75976832256627)	(25, 37.59253063042994)	(30, 37.58331922477167)	(35, 37.41168188906215)	(40, 37.68593450657162)	(45, 37.457366896858986)	(50, 37.36233905101359)	(55, 37.62511249721542)	(60, 37.57678547560704)	(65, 37.50815771886835)	(70, 37.60874359545555)	(75, 37.38117620850969)	(80, 37.44205613722433)	(85, 37.09022944976609)	(90, 37.052274448652256)	(95, 37.086850077968364)	(100, 37.08129427489418)	(105, 37.07799064379594)	(110, 36.92442192024949)	(115, 36.96668745823123)	(120, 37.002470483403876)	(125, 36.96017153040766)	(130, 36.93301180663845)	(135, 36.86671419024281)	(140, 36.81000222766763)	(145, 36.700857652038316)	(150, 36.781541546001336)	(155, 36.68422365783025)	(160, 36.50255736244152)	(165, 36.4866228558699)	(170, 36.40214078859434)	(175, 36.32766094898641)	(180, 36.41753842726665)	(185, 36.35191802183114)	(190, 36.01979505457786)	(195, 36.18738471820004)	(200, 35.73983960793049)	(205, 35.69870349743818)	(210, 35.7418868344843)	(215, 35.36293606593897)	(220, 35.33780351971485)	(225, 35.2221029182446)	(230, 35.14916016930274)	(235, 34.562862552907106)	(240, 34.11654265983515)	(245, 34.06538650033416)	(250, 33.25498552016039)	(255, 33.31447538427267)	(260, 32.69939630207173)	(265, 31.932546224103362)	(270, 31.465889953218984)	(275, 30.263100913343727)	(280, 29.554096680775228)	(285, 28.40723323680107)	(290, 27.543399420806416)	(295, 27.13397193138784)	(300, 20.419893071953666)
NGS001-23_ITS2_41_S55_L001_R2_001	(1, 33.702985074626866)	(2, 33.791434617955)	(3, 33.83351525952328)	(4, 33.867464914234795)	(5, 33.83429494319448)	(6, 37.84952105145912)	(7, 37.603486299844064)	(8, 37.61143907329026)	(9, 37.63990866562709)	(10, 37.75650256181778)	(15, 37.67638672310092)	(20, 37.635658275785254)	(25, 37.645727333481844)	(30, 37.6390599242593)	(35, 37.46849632434841)	(40, 37.57019380708398)	(45, 37.46582312319002)	(50, 37.29448875027846)	(55, 37.49033637781243)	(60, 37.20206727556249)	(65, 37.28662508353754)	(70, 37.12025618177768)	(75, 37.072312319002)	(80, 36.72581421251949)	(85, 36.736836711962574)	(90, 36.81286032523947)	(95, 36.87208509690354)	(100, 36.71064602361328)	(105, 36.742664290487866)	(110, 36.21269325016707)	(115, 36.40891735353085)	(120, 36.31999777233237)	(125, 36.42999777233237)	(130, 36.14625974604589)	(135, 36.012223212296725)	(140, 36.00908888393852)	(145, 36.16044330585877)	(150, 35.77478948540877)	(155, 35.5209957674315)	(160, 35.5035999108933)	(165, 35.39901759857429)	(170, 35.12387391401203)	(175, 34.39635999108933)	(180, 34.62597014925373)	(185, 34.11688572065048)	(190, 34.36227222098462)	(195, 32.65241924704834)	(200, 30.188770327467143)	(205, 30.176172867008244)	(210, 29.66863221207396)	(215, 29.792944976609487)	(220, 27.800652706616177)	(225, 26.93391401202941)	(230, 28.289175762976164)	(235, 27.284110046781016)	(240, 25.291978168857206)	(245, 25.193299175762977)	(250, 22.811915794163514)	(255, 19.829313878369348)	(260, 19.207854756070397)	(265, 20.82209400757407)	(270, 19.365716195143683)	(275, 17.99133437291156)	(280, 17.289271552684337)	(285, 17.378193361550455)	(290, 16.8164624638004)	(295, 16.9424370683894)	(300, 13.134183559812875)
NGS001-23_ITS2_42_S61_L001_R1_001	(1, 33.73774362298042)	(2, 33.916450627285776)	(3, 33.86177723253553)	(4, 33.953601685107174)	(5, 33.88198463034119)	(6, 37.80203462802648)	(7, 37.79182676727929)	(8, 37.80124762742466)	(9, 37.68806999675941)	(10, 37.62270496736262)	(15, 37.76081431415213)	(20, 37.74997916763113)	(25, 37.508955603907225)	(30, 37.554555344659974)	(35, 37.39468311652238)	(40, 37.636470533771586)	(45, 37.39893060506458)	(50, 37.16535808527383)	(55, 37.59299106522847)	(60, 37.541282810980974)	(65, 37.4738299152817)	(70, 37.54318087125596)	(75, 37.41041618443591)	(80, 37.261351326327485)	(85, 37.02821165686773)	(90, 37.00868478311189)	(95, 37.075170131012456)	(100, 37.09690755057636)	(105, 37.024447942224896)	(110, 36.912085088653306)	(115, 36.89669691217999)	(120, 36.86437896393686)	(125, 36.87693162353595)	(130, 36.858254247488546)	(135, 36.86090921716587)	(140, 36.767316327947775)	(145, 36.58950974491921)	(150, 36.6768853293829)	(155, 36.58561177723253)	(160, 36.50337252904958)	(165, 36.48340123142447)	(170, 36.32336928845887)	(175, 36.152310078237115)	(180, 36.284255358548215)	(185, 36.043687792231836)	(190, 35.96222628582011)	(195, 35.93622980417573)	(200, 35.63032267024674)	(205, 35.34200499976853)	(210, 35.42824637748252)	(215, 35.03871580019443)	(220, 34.91612656821444)	(225, 34.792738762094345)	(230, 34.85379843525763)	(235, 34.137565390491176)	(240, 33.61756400166659)	(245, 33.793752604046105)	(250, 32.88999120411093)	(255, 32.479598166751536)	(260, 31.578619045414563)	(265, 31.32202212860516)	(270, 30.722049905096988)	(275, 29.85203925744178)	(280, 28.956258969492154)	(285, 28.781017082542473)	(290, 27.213184574788205)	(295, 26.706383963705388)	(300, 21.649559048192213)
NGS001-23_ITS2_42_S61_L001_R2_001	(1, 33.665455302995234)	(2, 33.7655201148095)	(3, 33.81855006712652)	(4, 33.852518401925835)	(5, 33.80989306050646)	(6, 37.838016758483406)	(7, 37.53762557289014)	(8, 37.55237026063608)	(9, 37.54712744780334)	(10, 37.70431461506412)	(15, 37.63838479700014)	(20, 37.58266283968335)	(25, 37.599280125920096)	(30, 37.59716448312578)	(35, 37.39484977547336)	(40, 37.51333503078561)	(45, 37.39153048469978)	(50, 37.20390491180964)	(55, 37.409453266052495)	(60, 37.11952224434053)	(65, 37.08059117633443)	(70, 36.89811119855562)	(75, 36.840310633766954)	(80, 36.51896439979631)	(85, 36.64948382019351)	(90, 36.60690940234249)	(95, 36.634565529373646)	(100, 36.50202536919587)	(105, 36.62677885283089)	(110, 36.13525068283876)	(115, 35.97304522938752)	(120, 36.07709828248692)	(125, 36.42742928568122)	(130, 36.093979445396045)	(135, 36.007423267441325)	(140, 35.77676496458498)	(145, 35.97845238646359)	(150, 35.60036340910143)	(155, 35.609406971899446)	(160, 35.528436183510024)	(165, 35.30963844266469)	(170, 35.21110365260868)	(175, 34.635273829915285)	(180, 34.488014443775754)	(185, 33.88732003148002)	(190, 34.2895352067034)	(195, 33.36522151752233)	(200, 31.800354150270824)	(205, 31.180727744085925)	(210, 30.53779454654877)	(215, 31.035320124068335)	(220, 28.390465719179666)	(225, 27.292375352992917)	(230, 27.835130318040832)	(235, 26.751601777695477)	(240, 25.901881857321417)	(245, 24.651791583722975)	(250, 23.480653673441044)	(255, 21.69202351742975)	(260, 20.664825702513774)	(265, 21.55662237859358)	(270, 20.28416045553447)	(275, 18.75413638257488)	(280, 17.332327207073746)	(285, 17.87323966483033)	(290, 17.282278598213047)	(295, 17.605182630433777)	(300, 13.692543169297718)
NGS001-23_ITS2_43_S67_L001_R1_001	(1, 33.828935795954266)	(2, 33.92277148326349)	(3, 33.892583682549535)	(4, 33.96372031662269)	(5, 33.89917998861814)	(6, 37.80794402193595)	(7, 37.770526152413474)	(8, 37.75911842309483)	(9, 37.67914791246314)	(10, 37.63417145222205)	(15, 37.7581250970045)	(20, 37.7576827564799)	(25, 37.5202338455171)	(30, 37.558334626726676)	(35, 37.39560763619432)	(40, 37.63195198923897)	(45, 37.391564488592266)	(50, 37.27672668011796)	(55, 37.58346267266801)	(60, 37.53152516943452)	(65, 37.49393139841688)	(70, 37.561456878265815)	(75, 37.42882456412644)	(80, 37.33830772414506)	(85, 37.07054684670702)	(90, 37.03142169796679)	(95, 37.12733716177764)	(100, 37.07002690258162)	(105, 36.991010916239844)	(110, 36.8683842930312)	(115, 36.83262714056599)	(120, 36.86683480780175)	(125, 36.84288892337938)	(130, 36.785151844378916)	(135, 36.729566971907495)	(140, 36.69495576594754)	(145, 36.564216979667854)	(150, 36.51241398934244)	(155, 36.530604273371615)	(160, 36.35295928397744)	(165, 36.31537068653319)	(170, 36.24940762584717)	(175, 36.09708469139635)	(180, 36.206084122303274)	(185, 36.08371876455068)	(190, 35.875510890371984)	(195, 35.90204873506131)	(200, 35.5942469863935)	(205, 35.304759687516174)	(210, 35.30053546484557)	(215, 35.018821459982405)	(220, 34.900442340524606)	(225, 34.7554296652698)	(230, 34.66856278131305)	(235, 34.22587562729577)	(240, 33.633910186766)	(245, 33.518433441978374)	(250, 32.82873920016555)	(255, 32.5590485798541)	(260, 31.653326607687926)	(265, 31.16124476175695)	(270, 30.60868125614362)	(275, 29.69792798385845)	(280, 29.150657043820168)	(285, 28.21569144808319)	(290, 26.85457085208754)	(295, 26.400157793988306)	(300, 21.030970303688758)
NGS001-23_ITS2_43_S67_L001_R2_001	(1, 33.612279476434374)	(2, 33.722398985979616)	(3, 33.790470277820894)	(4, 33.83392829427285)	(5, 33.779773914842984)	(6, 37.807607739665784)	(7, 37.4999611981996)	(8, 37.51155000258679)	(9, 37.52078483108283)	(10, 37.67853225723007)	(15, 37.5879326400745)	(20, 37.54727352682498)	(25, 37.560238501733146)	(30, 37.53363340058979)	(35, 37.277963164157484)	(40, 37.43939676134306)	(45, 37.30597030368876)	(50, 37.09980599099798)	(55, 37.31368927518237)	(60, 37.02568420508045)	(65, 37.048121992860466)	(70, 36.839952920482176)	(75, 36.71818511045579)	(80, 36.34771586734958)	(85, 36.44691396347457)	(90, 36.41951989238967)	(95, 36.501844378912516)	(100, 36.22111593977961)	(105, 36.35408453618915)	(110, 35.79502043561488)	(115, 35.80190387500646)	(120, 35.89568006622174)	(125, 36.15295152361736)	(130, 35.700256091882665)	(135, 35.72773035335506)	(140, 35.42242226705986)	(145, 35.57186869470743)	(150, 35.11055926328315)	(155, 35.13189249314502)	(160, 35.04508510528222)	(165, 34.75292824253712)	(170, 34.64694759170159)	(175, 34.006601479641986)	(180, 34.07168503285219)	(185, 33.64401158880439)	(190, 33.551288219773404)	(195, 32.48159759946195)	(200, 30.552835118216155)	(205, 30.101911635366548)	(210, 29.5115034404263)	(215, 29.702961870764135)	(220, 27.146520771897155)	(225, 26.050744994567747)	(230, 27.031031093176058)	(235, 25.734856950695843)	(240, 24.241435149257594)	(245, 23.97269129287599)	(250, 22.121286667701376)	(255, 20.398184075741117)	(260, 19.291745563660818)	(265, 19.648096124993533)	(270, 18.666570955559006)	(275, 17.640118474830565)	(280, 16.55044751409799)	(285, 16.67290858295825)	(290, 15.697045889595945)	(295, 16.22110559263283)	(300, 13.093156655802161)
NGS001-23_ITS2_44_S73_L001_R1_001	(1, 33.757430753657864)	(2, 33.888853102665564)	(3, 33.83931474494647)	(4, 33.95638170608264)	(5, 33.876905616392136)	(6, 37.73137327075857)	(7, 37.76014539431306)	(8, 37.78882549615042)	(9, 37.662433667678904)	(10, 37.60576055949205)	(15, 37.742615257200704)	(20, 37.73598969356768)	(25, 37.36024355081132)	(30, 37.51980307352535)	(35, 37.33014324713966)	(40, 37.608941443514006)	(45, 37.30729425477746)	(50, 37.27943928100365)	(55, 37.56704702309746)	(60, 37.49051869574553)	(65, 37.43243152050551)	(70, 37.52203613386093)	(75, 37.38743596822183)	(80, 37.344740958866296)	(85, 36.92533051133401)	(90, 36.84091592282446)	(95, 36.996865126836596)	(100, 36.90536793349897)	(105, 36.869105242170484)	(110, 36.766277108064166)	(115, 36.76551332781203)	(120, 36.77913867672771)	(125, 36.72622312199012)	(130, 36.69917487193644)	(135, 36.64064905984479)	(140, 36.58273365847673)	(145, 36.37689948161099)	(150, 36.34268580718383)	(155, 36.318453421674185)	(160, 36.172918008650036)	(165, 36.05746142756357)	(170, 35.92520168093004)	(175, 35.84759669948774)	(180, 35.91447501610379)	(185, 35.71384313364621)	(190, 35.60133738228889)	(195, 35.381482163123835)	(200, 35.24441274807522)	(205, 34.932505137879204)	(210, 34.81114689733444)	(215, 34.39961964356921)	(220, 34.402567405907796)	(225, 34.204426244593726)	(230, 34.11418668139014)	(235, 33.453492224164904)	(240, 32.7227324315205)	(245, 32.83187939020276)	(250, 31.823447133523512)	(255, 31.60831262844698)	(260, 30.780037422164963)	(265, 30.430922364344656)	(270, 29.61916505628662)	(275, 28.48424588202816)	(280, 28.075736940584648)	(285, 27.2390386797951)	(290, 25.535351676328947)	(295, 25.54244041593816)	(300, 20.146230176988436)
NGS001-23_ITS2_44_S73_L001_R2_001	(1, 33.564292506364836)	(2, 33.72172632741327)	(3, 33.788304039753385)	(4, 33.82264347719395)	(5, 33.78405570381277)	(6, 37.81522039201251)	(7, 37.4771939511058)	(8, 37.4805067329223)	(9, 37.473773810619306)	(10, 37.649335909941406)	(15, 37.587825526824325)	(20, 37.52249930983712)	(25, 37.53980552743781)	(30, 37.53036716665133)	(35, 37.31986442133677)	(40, 37.45720683414619)	(45, 37.30290481887059)	(50, 37.04637894543112)	(55, 37.33197141191988)	(60, 37.018711082482135)	(65, 36.95683567988713)	(70, 36.82327842704212)	(75, 36.68691757921536)	(80, 36.355016717278616)	(85, 36.39511671421122)	(90, 36.40082512806356)	(95, 36.45462102389497)	(100, 36.2021042299316)	(105, 36.239004938498816)	(110, 35.82914634520414)	(115, 35.77881046593662)	(120, 35.73795895831417)	(125, 36.05032054231465)	(130, 35.640572375080524)	(135, 35.57045796141223)	(140, 35.264133002055154)	(145, 35.368286248888076)	(150, 34.906573417993314)	(155, 35.02025397993926)	(160, 34.814073187939016)	(165, 34.48159258918439)	(170, 34.528308947578296)	(175, 33.77064200484648)	(180, 33.776325879574244)	(185, 33.27806509002791)	(190, 33.253722278457715)	(195, 32.06023434863961)	(200, 30.46711143829944)	(205, 29.678012944388207)	(210, 28.985359344805374)	(215, 29.471767737185974)	(220, 26.205558111714367)	(225, 25.460657648538387)	(230, 26.07097941780927)	(235, 24.774537590871446)	(240, 23.609738965062423)	(245, 22.83072911873869)	(250, 21.326054415508725)	(255, 19.71990429741419)	(260, 18.16335695224073)	(265, 18.692067727983805)	(270, 17.980887089353086)	(275, 16.656700714702005)	(280, 15.788626115763321)	(285, 16.17215116100733)	(290, 15.173289162909114)	(295, 15.654933897733196)	(300, 12.885885402288274)
NGS001-23_ITS2_47_S91_L001_R1_001	(1, 33.729046029475214)	(2, 33.896246338306426)	(3, 33.86084429002884)	(4, 33.95319844676068)	(5, 33.88681109067375)	(6, 37.77576810409428)	(7, 37.77264572972727)	(8, 37.79997502100506)	(9, 37.7010582010582)	(10, 37.645632082112776)	(15, 37.76740468242615)	(20, 37.738669754978766)	(25, 37.316129618275546)	(30, 37.53074914276631)	(35, 37.329018779662555)	(40, 37.634352930490266)	(45, 37.497929014238025)	(50, 37.32915275790812)	(55, 37.597985784681065)	(60, 37.521615913890585)	(65, 37.49400958285078)	(70, 37.51409042396167)	(75, 37.484456252696596)	(80, 37.40569066920999)	(85, 37.010348116356695)	(90, 37.05387287962395)	(95, 37.16018575288961)	(100, 36.994357017962166)	(105, 36.976097372663894)	(110, 36.8730499352817)	(115, 36.95543747303404)	(120, 36.866700728932486)	(125, 36.775036900787974)	(130, 36.828169493834736)	(135, 36.76645775143629)	(140, 36.68954969684583)	(145, 36.42935031904989)	(150, 36.53264073392829)	(155, 36.5294048186752)	(160, 36.32983400322457)	(165, 36.26477280468697)	(170, 36.12697277289552)	(175, 36.08307786633967)	(180, 36.110286804278225)	(185, 35.94560710311784)	(190, 35.74594772577605)	(195, 35.57385153393737)	(200, 35.13969616458887)	(205, 35.04752140245703)	(210, 34.8634216681427)	(215, 34.84532325090265)	(220, 34.63979835138633)	(225, 34.37268660444626)	(230, 34.491795535572365)	(235, 33.75552376410745)	(240, 33.19355996094193)	(245, 33.21754433771601)	(250, 32.2871017553421)	(255, 31.97038626609442)	(260, 31.33964847741671)	(265, 30.124908599586707)	(270, 29.059279696618756)	(275, 28.578845062106865)	(280, 27.727111292776527)	(285, 27.302740876989805)	(290, 25.28123623316756)	(295, 25.608956105093448)	(300, 20.531019370075164)
NGS001-23_ITS2_47_S91_L001_R2_001	(1, 33.62995889819924)	(2, 33.744271862297616)	(3, 33.80248427458728)	(4, 33.847242091877284)	(5, 33.804414469650524)	(6, 37.83318573018144)	(7, 37.529384381315715)	(8, 37.54263460272044)	(9, 37.54395167699889)	(10, 37.69636669164566)	(15, 37.62357562958422)	(20, 37.55989508822127)	(25, 37.57949905761065)	(30, 37.56948020982356)	(35, 37.35907078138838)	(40, 37.49894634057724)	(45, 37.368580966005865)	(50, 37.17207802529691)	(55, 37.36955968844381)	(60, 37.08162000136249)	(65, 37.053318800099916)	(70, 36.75006471830506)	(75, 36.53399414129028)	(80, 36.0218498081159)	(85, 35.968544632922324)	(90, 36.17392420010445)	(95, 36.194163998455835)	(100, 36.133276562890295)	(105, 36.224869995685445)	(110, 35.640704407657196)	(115, 35.36294706723892)	(120, 35.50213002702273)	(125, 35.92275359356905)	(130, 35.555169516542904)	(135, 35.33224334082703)	(140, 35.22495174512342)	(145, 35.372752458160186)	(150, 34.395878465835544)	(155, 34.80505029861253)	(160, 34.63999137089266)	(165, 34.33183913527261)	(170, 34.15769239503145)	(175, 33.52831255535118)	(180, 33.51105206985035)	(185, 33.775734041828464)	(190, 33.20829075550106)	(195, 32.15187456002907)	(200, 29.762256738651587)	(205, 29.810139201126322)	(210, 29.13761382473829)	(215, 29.817496650543866)	(220, 26.293664418557125)	(225, 26.27832731566637)	(230, 26.74987169879874)	(235, 25.525969071462633)	(240, 23.940200286123034)	(245, 23.18635465631174)	(250, 21.569496105547607)	(255, 19.92875990644231)	(260, 18.32774030928537)	(265, 19.632663442105503)	(270, 18.72068714944252)	(275, 17.20282262642778)	(280, 16.674385176101914)	(285, 16.498242387083586)	(290, 15.70668074573654)	(295, 16.725526262006948)	(300, 12.921810068805776)
