Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
NGS001-23_ITS2_41_S55_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.25)	(25.0, 0.0)	(26.0, 0.5)	(27.0, 1.5)	(28.0, 2.25)	(29.0, 6.25)	(30.0, 12.75)	(31.0, 23.75)	(32.0, 53.75)	(33.0, 56.5)	(34.0, 35.25)	(35.0, 36.0)	(36.0, 70.0)	(37.0, 129.25)	(38.0, 152.25)	(39.0, 236.5)	(40.0, 993.25)	(41.0, 606.5)	(42.0, 223.25)	(43.0, 579.5)	(44.0, 474.0)	(45.0, 391.0)	(46.0, 523.25)	(47.0, 410.5)	(48.0, 518.75)	(49.0, 2844.0)	(50.0, 2857.0)	(51.0, 766.0)	(52.0, 918.5)	(53.0, 4101.75)	(54.0, 6947.0)	(55.0, 1207.75)	(56.0, 1972.0)	(57.0, 2236.5)	(58.0, 318.0)	(59.0, 219.0)	(60.0, 146.0)	(61.0, 151.0)	(62.0, 98.25)	(63.0, 55.5)	(64.0, 55.25)	(65.0, 60.5)	(66.0, 110.5)	(67.0, 74.5)	(68.0, 13.25)	(69.0, 3.5)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_41_S55_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.25)	(18.0, 0.75)	(19.0, 0.5)	(20.0, 1.0)	(21.0, 1.25)	(22.0, 2.25)	(23.0, 2.0)	(24.0, 2.5)	(25.0, 1.75)	(26.0, 1.25)	(27.0, 1.75)	(28.0, 6.0)	(29.0, 20.25)	(30.0, 44.75)	(31.0, 50.75)	(32.0, 13.0)	(33.0, 25.75)	(34.0, 44.25)	(35.0, 58.25)	(36.0, 69.5)	(37.0, 128.5)	(38.0, 376.25)	(39.0, 828.0)	(40.0, 459.5)	(41.0, 423.75)	(42.0, 325.5)	(43.0, 545.0)	(44.0, 427.0)	(45.0, 342.0)	(46.0, 417.5)	(47.0, 454.0)	(48.0, 498.75)	(49.0, 2021.75)	(50.0, 2664.5)	(51.0, 1028.5)	(52.0, 888.5)	(53.0, 2481.25)	(54.0, 5794.75)	(55.0, 2869.25)	(56.0, 1732.75)	(57.0, 1914.75)	(58.0, 1342.5)	(59.0, 542.5)	(60.0, 248.0)	(61.0, 207.5)	(62.0, 176.5)	(63.0, 114.0)	(64.0, 72.75)	(65.0, 45.5)	(66.0, 41.5)	(67.0, 61.75)	(68.0, 41.0)	(69.0, 18.5)	(70.0, 5.25)	(71.0, 3.25)	(72.0, 0.25)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 1.0)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.25)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.25)	(82.0, 0.25)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.25)	(86.0, 0.25)	(87.0, 0.0)	(88.0, 0.25)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.25)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.25)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_42_S61_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.25)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 3.75)	(27.0, 3.0)	(28.0, 5.0)	(29.0, 14.0)	(30.0, 17.75)	(31.0, 26.25)	(32.0, 21.75)	(33.0, 41.5)	(34.0, 33.25)	(35.0, 122.75)	(36.0, 554.25)	(37.0, 327.5)	(38.0, 330.5)	(39.0, 297.0)	(40.0, 343.75)	(41.0, 658.0)	(42.0, 916.75)	(43.0, 791.5)	(44.0, 2513.75)	(45.0, 3856.0)	(46.0, 859.75)	(47.0, 584.75)	(48.0, 946.5)	(49.0, 803.5)	(50.0, 1173.5)	(51.0, 964.75)	(52.0, 1075.75)	(53.0, 1183.5)	(54.0, 1421.0)	(55.0, 1843.25)	(56.0, 1559.25)	(57.0, 1503.75)	(58.0, 1174.75)	(59.0, 887.75)	(60.0, 646.5)	(61.0, 400.75)	(62.0, 404.0)	(63.0, 252.0)	(64.0, 93.0)	(65.0, 72.5)	(66.0, 134.5)	(67.0, 103.75)	(68.0, 28.75)	(69.0, 10.5)	(70.0, 3.5)	(71.0, 1.25)	(72.0, 1.0)	(73.0, 0.75)	(74.0, 0.25)	(75.0, 0.5)	(76.0, 0.75)	(77.0, 0.5)	(78.0, 1.25)	(79.0, 0.25)	(80.0, 0.25)	(81.0, 0.25)	(82.0, 0.25)	(83.0, 0.25)	(84.0, 0.25)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_42_S61_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.25)	(9.0, 0.25)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 0.25)	(14.0, 0.25)	(15.0, 0.25)	(16.0, 0.5)	(17.0, 1.0)	(18.0, 1.5)	(19.0, 2.75)	(20.0, 1.75)	(21.0, 3.25)	(22.0, 2.75)	(23.0, 5.75)	(24.0, 3.0)	(25.0, 2.5)	(26.0, 2.25)	(27.0, 5.25)	(28.0, 10.75)	(29.0, 27.0)	(30.0, 48.0)	(31.0, 23.75)	(32.0, 7.0)	(33.0, 15.5)	(34.0, 118.5)	(35.0, 480.75)	(36.0, 187.75)	(37.0, 169.0)	(38.0, 353.5)	(39.0, 527.0)	(40.0, 360.25)	(41.0, 1071.5)	(42.0, 874.75)	(43.0, 748.75)	(44.0, 1032.25)	(45.0, 3289.25)	(46.0, 2066.25)	(47.0, 719.5)	(48.0, 757.5)	(49.0, 741.0)	(50.0, 1169.75)	(51.0, 1028.25)	(52.0, 772.25)	(53.0, 1008.5)	(54.0, 1404.5)	(55.0, 1580.25)	(56.0, 1634.5)	(57.0, 1365.0)	(58.0, 1141.0)	(59.0, 831.0)	(60.0, 903.0)	(61.0, 721.75)	(62.0, 509.0)	(63.0, 313.0)	(64.0, 228.5)	(65.0, 130.0)	(66.0, 66.0)	(67.0, 38.0)	(68.0, 60.0)	(69.0, 50.25)	(70.0, 25.5)	(71.0, 11.0)	(72.0, 4.0)	(73.0, 1.0)	(74.0, 0.25)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.25)	(92.0, 0.0)	(93.0, 0.25)	(94.0, 0.0)	(95.0, 0.25)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.3333333333333333)
NGS001-23_ITS2_43_S67_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.5)	(23.0, 0.75)	(24.0, 1.5)	(25.0, 8.25)	(26.0, 4.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 2.0)	(31.0, 4.5)	(32.0, 5.5)	(33.0, 4.75)	(34.0, 23.75)	(35.0, 38.75)	(36.0, 116.25)	(37.0, 574.75)	(38.0, 686.25)	(39.0, 236.0)	(40.0, 150.25)	(41.0, 257.75)	(42.0, 352.5)	(43.0, 1106.25)	(44.0, 1255.75)	(45.0, 921.75)	(46.0, 966.75)	(47.0, 1368.25)	(48.0, 694.75)	(49.0, 1025.5)	(50.0, 1554.25)	(51.0, 1417.5)	(52.0, 1176.5)	(53.0, 1617.0)	(54.0, 2048.0)	(55.0, 912.5)	(56.0, 1597.25)	(57.0, 1807.0)	(58.0, 697.5)	(59.0, 994.75)	(60.0, 620.0)	(61.0, 355.0)	(62.0, 445.0)	(63.0, 292.75)	(64.0, 148.75)	(65.0, 104.75)	(66.0, 69.5)	(67.0, 35.75)	(68.0, 18.0)	(69.0, 19.0)	(70.0, 9.75)	(71.0, 3.5)	(72.0, 6.25)	(73.0, 1.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.25)	(78.0, 0.25)	(79.0, 0.25)	(80.0, 0.25)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_43_S67_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 1.25)	(21.0, 0.25)	(22.0, 0.25)	(23.0, 0.75)	(24.0, 0.75)	(25.0, 1.25)	(26.0, 4.25)	(27.0, 5.75)	(28.0, 2.75)	(29.0, 2.0)	(30.0, 2.5)	(31.0, 4.25)	(32.0, 6.75)	(33.0, 8.75)	(34.0, 39.75)	(35.0, 209.5)	(36.0, 211.25)	(37.0, 266.75)	(38.0, 604.25)	(39.0, 402.75)	(40.0, 180.5)	(41.0, 373.75)	(42.0, 368.5)	(43.0, 993.75)	(44.0, 933.25)	(45.0, 1244.5)	(46.0, 909.5)	(47.0, 1034.75)	(48.0, 769.25)	(49.0, 1039.25)	(50.0, 1745.5)	(51.0, 1221.75)	(52.0, 981.25)	(53.0, 1240.5)	(54.0, 1807.75)	(55.0, 1251.25)	(56.0, 1158.25)	(57.0, 1571.25)	(58.0, 1368.5)	(59.0, 870.25)	(60.0, 718.0)	(61.0, 623.75)	(62.0, 495.75)	(63.0, 409.75)	(64.0, 280.25)	(65.0, 147.5)	(66.0, 72.25)	(67.0, 30.0)	(68.0, 15.0)	(69.0, 11.0)	(70.0, 13.25)	(71.0, 11.0)	(72.0, 6.25)	(73.0, 3.5)	(74.0, 1.0)	(75.0, 0.25)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.25)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.25)	(82.0, 0.25)	(83.0, 0.0)	(84.0, 0.25)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.25)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.25)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.25)	(98.0, 0.25)	(99.0, 0.25)	(100.0, 0.3333333333333333)
NGS001-23_ITS2_44_S73_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.25)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.5)	(22.0, 0.75)	(23.0, 1.25)	(24.0, 3.0)	(25.0, 4.5)	(26.0, 5.5)	(27.0, 6.5)	(28.0, 6.25)	(29.0, 7.5)	(30.0, 7.5)	(31.0, 15.75)	(32.0, 17.25)	(33.0, 14.0)	(34.0, 62.75)	(35.0, 51.75)	(36.0, 48.5)	(37.0, 89.75)	(38.0, 123.5)	(39.0, 98.75)	(40.0, 285.5)	(41.0, 478.0)	(42.0, 392.75)	(43.0, 667.5)	(44.0, 619.0)	(45.0, 342.0)	(46.0, 628.5)	(47.0, 264.0)	(48.0, 407.25)	(49.0, 1224.5)	(50.0, 2021.0)	(51.0, 1014.0)	(52.0, 1587.75)	(53.0, 1519.75)	(54.0, 1140.5)	(55.0, 711.75)	(56.0, 1086.75)	(57.0, 890.5)	(58.0, 972.25)	(59.0, 1449.25)	(60.0, 865.75)	(61.0, 824.0)	(62.0, 498.25)	(63.0, 362.5)	(64.0, 242.75)	(65.0, 161.25)	(66.0, 95.0)	(67.0, 37.75)	(68.0, 21.25)	(69.0, 8.5)	(70.0, 4.0)	(71.0, 3.5)	(72.0, 9.5)	(73.0, 3.25)	(74.0, 0.5)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_44_S73_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.25)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 0.5)	(21.0, 0.5)	(22.0, 1.75)	(23.0, 4.25)	(24.0, 6.25)	(25.0, 5.0)	(26.0, 5.75)	(27.0, 5.75)	(28.0, 2.75)	(29.0, 6.75)	(30.0, 15.75)	(31.0, 17.25)	(32.0, 16.75)	(33.0, 48.0)	(34.0, 68.25)	(35.0, 46.0)	(36.0, 65.5)	(37.0, 83.0)	(38.0, 135.25)	(39.0, 295.25)	(40.0, 296.5)	(41.0, 451.5)	(42.0, 696.75)	(43.0, 584.0)	(44.0, 360.25)	(45.0, 370.0)	(46.0, 531.75)	(47.0, 252.75)	(48.0, 509.25)	(49.0, 1011.5)	(50.0, 1657.25)	(51.0, 1223.25)	(52.0, 1254.75)	(53.0, 1458.75)	(54.0, 1325.0)	(55.0, 778.25)	(56.0, 910.75)	(57.0, 1032.75)	(58.0, 835.5)	(59.0, 810.5)	(60.0, 1086.75)	(61.0, 1036.25)	(62.0, 771.75)	(63.0, 508.5)	(64.0, 390.0)	(65.0, 274.75)	(66.0, 194.5)	(67.0, 144.75)	(68.0, 88.0)	(69.0, 35.25)	(70.0, 15.0)	(71.0, 10.0)	(72.0, 7.75)	(73.0, 4.25)	(74.0, 1.25)	(75.0, 0.5)	(76.0, 0.25)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.25)	(81.0, 0.75)	(82.0, 0.25)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.6666666666666666)
NGS001-23_ITS2_47_S91_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.25)	(19.0, 0.75)	(20.0, 0.75)	(21.0, 1.75)	(22.0, 0.25)	(23.0, 1.5)	(24.0, 1.75)	(25.0, 2.5)	(26.0, 13.25)	(27.0, 10.75)	(28.0, 6.5)	(29.0, 12.75)	(30.0, 20.0)	(31.0, 24.5)	(32.0, 55.75)	(33.0, 78.5)	(34.0, 46.5)	(35.0, 15.0)	(36.0, 42.75)	(37.0, 114.5)	(38.0, 87.5)	(39.0, 186.5)	(40.0, 964.0)	(41.0, 3038.75)	(42.0, 1473.0)	(43.0, 917.5)	(44.0, 323.75)	(45.0, 149.5)	(46.0, 797.0)	(47.0, 1419.75)	(48.0, 452.75)	(49.0, 437.0)	(50.0, 885.75)	(51.0, 466.0)	(52.0, 652.75)	(53.0, 844.5)	(54.0, 1008.75)	(55.0, 5535.5)	(56.0, 4298.75)	(57.0, 1181.5)	(58.0, 939.75)	(59.0, 1341.0)	(60.0, 834.25)	(61.0, 488.5)	(62.0, 299.5)	(63.0, 191.75)	(64.0, 162.5)	(65.0, 131.5)	(66.0, 69.25)	(67.0, 57.25)	(68.0, 50.0)	(69.0, 18.5)	(70.0, 8.75)	(71.0, 4.25)	(72.0, 5.0)	(73.0, 1.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.25)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
NGS001-23_ITS2_47_S91_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 2.75)	(11.0, 1.5)	(12.0, 1.5)	(13.0, 1.25)	(14.0, 0.75)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 1.75)	(18.0, 2.0)	(19.0, 3.25)	(20.0, 1.75)	(21.0, 2.25)	(22.0, 1.75)	(23.0, 3.25)	(24.0, 4.75)	(25.0, 2.75)	(26.0, 4.0)	(27.0, 13.25)	(28.0, 17.75)	(29.0, 28.0)	(30.0, 45.5)	(31.0, 35.75)	(32.0, 73.5)	(33.0, 30.75)	(34.0, 25.75)	(35.0, 23.0)	(36.0, 44.0)	(37.0, 106.5)	(38.0, 327.75)	(39.0, 1014.0)	(40.0, 1782.75)	(41.0, 2032.25)	(42.0, 1154.75)	(43.0, 681.25)	(44.0, 242.0)	(45.0, 323.5)	(46.0, 853.5)	(47.0, 895.5)	(48.0, 583.25)	(49.0, 446.0)	(50.0, 718.5)	(51.0, 547.0)	(52.0, 597.0)	(53.0, 633.0)	(54.0, 886.0)	(55.0, 3060.75)	(56.0, 4843.25)	(57.0, 2271.25)	(58.0, 1075.75)	(59.0, 780.0)	(60.0, 831.5)	(61.0, 890.25)	(62.0, 553.25)	(63.0, 353.0)	(64.0, 222.5)	(65.0, 165.25)	(66.0, 117.0)	(67.0, 58.0)	(68.0, 47.5)	(69.0, 42.0)	(70.0, 26.25)	(71.0, 10.0)	(72.0, 4.5)	(73.0, 3.0)	(74.0, 1.25)	(75.0, 0.5)	(76.0, 0.25)	(77.0, 0.25)	(78.0, 0.0)	(79.0, 0.25)	(80.0, 0.25)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.25)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.25)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.3333333333333333)
