Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS001-23_ITS2_41_S55_L001_R1_001	(17.0, 1.0)	(18.0, 15.0)	(19.0, 56.0)	(20.0, 135.0)	(21.0, 286.0)	(22.0, 412.0)	(23.0, 415.0)	(24.0, 462.0)	(25.0, 543.0)	(26.0, 597.0)	(27.0, 754.0)	(28.0, 850.0)	(29.0, 1067.0)	(30.0, 1232.0)	(31.0, 1715.0)	(32.0, 2332.0)	(33.0, 3513.0)	(34.0, 5898.0)	(35.0, 11887.0)	(36.0, 28365.0)	(37.0, 29245.0)															
NGS001-23_ITS2_41_S55_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 44.0)	(13.0, 86.0)	(14.0, 53.0)	(15.0, 45.0)	(16.0, 49.0)	(17.0, 78.0)	(18.0, 139.0)	(19.0, 348.0)	(20.0, 489.0)	(21.0, 567.0)	(22.0, 623.0)	(23.0, 652.0)	(24.0, 783.0)	(25.0, 1001.0)	(26.0, 1336.0)	(27.0, 1853.0)	(28.0, 2928.0)	(29.0, 4671.0)	(30.0, 7784.0)	(31.0, 11874.0)	(32.0, 15976.0)	(33.0, 17687.0)	(34.0, 13815.0)	(35.0, 5935.0)	(36.0, 954.0)	(37.0, 5.0)							
NGS001-23_ITS2_42_S61_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 8.0)	(19.0, 61.0)	(20.0, 151.0)	(21.0, 314.0)	(22.0, 376.0)	(23.0, 421.0)	(24.0, 488.0)	(25.0, 522.0)	(26.0, 649.0)	(27.0, 747.0)	(28.0, 830.0)	(29.0, 1154.0)	(30.0, 1395.0)	(31.0, 1902.0)	(32.0, 2722.0)	(33.0, 4089.0)	(34.0, 6751.0)	(35.0, 12277.0)	(36.0, 26043.0)	(37.0, 25500.0)														
NGS001-23_ITS2_42_S61_L001_R2_001	(10.0, 2.0)	(11.0, 3.0)	(12.0, 36.0)	(13.0, 68.0)	(14.0, 66.0)	(15.0, 40.0)	(16.0, 55.0)	(17.0, 87.0)	(18.0, 185.0)	(19.0, 390.0)	(20.0, 562.0)	(21.0, 597.0)	(22.0, 593.0)	(23.0, 709.0)	(24.0, 803.0)	(25.0, 993.0)	(26.0, 1316.0)	(27.0, 1909.0)	(28.0, 2663.0)	(29.0, 4215.0)	(30.0, 6558.0)	(31.0, 9977.0)	(32.0, 13551.0)	(33.0, 15633.0)	(34.0, 14801.0)	(35.0, 8551.0)	(36.0, 2018.0)	(37.0, 23.0)								
NGS001-23_ITS2_43_S67_L001_R1_001	(16.0, 1.0)	(17.0, 4.0)	(18.0, 18.0)	(19.0, 56.0)	(20.0, 141.0)	(21.0, 263.0)	(22.0, 329.0)	(23.0, 406.0)	(24.0, 494.0)	(25.0, 515.0)	(26.0, 679.0)	(27.0, 781.0)	(28.0, 915.0)	(29.0, 1104.0)	(30.0, 1335.0)	(31.0, 1711.0)	(32.0, 2284.0)	(33.0, 3461.0)	(34.0, 5676.0)	(35.0, 10679.0)	(36.0, 23936.0)	(37.0, 22528.0)														
NGS001-23_ITS2_43_S67_L001_R2_001	(10.0, 1.0)	(11.0, 3.0)	(12.0, 43.0)	(13.0, 62.0)	(14.0, 58.0)	(15.0, 42.0)	(16.0, 76.0)	(17.0, 101.0)	(18.0, 197.0)	(19.0, 427.0)	(20.0, 523.0)	(21.0, 610.0)	(22.0, 670.0)	(23.0, 781.0)	(24.0, 960.0)	(25.0, 1165.0)	(26.0, 1544.0)	(27.0, 2180.0)	(28.0, 3301.0)	(29.0, 5019.0)	(30.0, 7518.0)	(31.0, 10264.0)	(32.0, 12408.0)	(33.0, 12894.0)	(34.0, 10722.0)	(35.0, 5054.0)	(36.0, 691.0)	(37.0, 2.0)								
NGS001-23_ITS2_44_S73_L001_R1_001	(17.0, 5.0)	(18.0, 19.0)	(19.0, 54.0)	(20.0, 167.0)	(21.0, 288.0)	(22.0, 338.0)	(23.0, 395.0)	(24.0, 437.0)	(25.0, 516.0)	(26.0, 614.0)	(27.0, 685.0)	(28.0, 762.0)	(29.0, 1045.0)	(30.0, 1296.0)	(31.0, 1800.0)	(32.0, 2468.0)	(33.0, 3774.0)	(34.0, 6078.0)	(35.0, 10918.0)	(36.0, 20223.0)	(37.0, 13320.0)															
NGS001-23_ITS2_44_S73_L001_R2_001	(10.0, 1.0)	(11.0, 5.0)	(12.0, 29.0)	(13.0, 56.0)	(14.0, 39.0)	(15.0, 43.0)	(16.0, 65.0)	(17.0, 98.0)	(18.0, 196.0)	(19.0, 419.0)	(20.0, 543.0)	(21.0, 537.0)	(22.0, 555.0)	(23.0, 682.0)	(24.0, 775.0)	(25.0, 1035.0)	(26.0, 1331.0)	(27.0, 2051.0)	(28.0, 3032.0)	(29.0, 4696.0)	(30.0, 7452.0)	(31.0, 10036.0)	(32.0, 10837.0)	(33.0, 10310.0)	(34.0, 7251.0)	(35.0, 2822.0)	(36.0, 306.0)									
NGS001-23_ITS2_47_S91_L001_R1_001	(17.0, 4.0)	(18.0, 10.0)	(19.0, 62.0)	(20.0, 142.0)	(21.0, 320.0)	(22.0, 375.0)	(23.0, 439.0)	(24.0, 538.0)	(25.0, 662.0)	(26.0, 815.0)	(27.0, 858.0)	(28.0, 1088.0)	(29.0, 1298.0)	(30.0, 1752.0)	(31.0, 2230.0)	(32.0, 3089.0)	(33.0, 4772.0)	(34.0, 8131.0)	(35.0, 15123.0)	(36.0, 28393.0)	(37.0, 17973.0)															
NGS001-23_ITS2_47_S91_L001_R2_001	(11.0, 10.0)	(12.0, 53.0)	(13.0, 76.0)	(14.0, 57.0)	(15.0, 49.0)	(16.0, 86.0)	(17.0, 128.0)	(18.0, 233.0)	(19.0, 501.0)	(20.0, 616.0)	(21.0, 753.0)	(22.0, 882.0)	(23.0, 931.0)	(24.0, 1225.0)	(25.0, 1513.0)	(26.0, 2007.0)	(27.0, 2984.0)	(28.0, 4057.0)	(29.0, 6254.0)	(30.0, 8832.0)	(31.0, 11998.0)	(32.0, 14841.0)	(33.0, 13958.0)	(34.0, 9747.0)	(35.0, 5178.0)	(36.0, 1104.0)	(37.0, 1.0)									
NGS001-23_ITS2_48_S97_L001_R1_001	(17.0, 2.0)	(18.0, 8.0)	(19.0, 29.0)	(20.0, 56.0)	(21.0, 127.0)	(22.0, 162.0)	(23.0, 209.0)	(24.0, 240.0)	(25.0, 290.0)	(26.0, 377.0)	(27.0, 389.0)	(28.0, 480.0)	(29.0, 603.0)	(30.0, 699.0)	(31.0, 971.0)	(32.0, 1321.0)	(33.0, 2005.0)	(34.0, 3340.0)	(35.0, 6241.0)	(36.0, 14185.0)	(37.0, 12482.0)															
