Sample	Unique Reads	Duplicate Reads
NGS001-23_ITS2_41_S55_L001_R1_001	3402.0	86378.0
NGS001-23_ITS2_41_S55_L001_R2_001	2035.0	87745.0
NGS001-23_ITS2_42_S61_L001_R1_001	4290.0	82114.0
NGS001-23_ITS2_42_S61_L001_R2_001	2527.0	83877.0
NGS001-23_ITS2_43_S67_L001_R1_001	3914.0	73402.0
NGS001-23_ITS2_43_S67_L001_R2_001	2759.0	74557.0
NGS001-23_ITS2_44_S73_L001_R1_001	3709.0	61493.0
NGS001-23_ITS2_44_S73_L001_R2_001	2363.0	62839.0
NGS001-23_ITS2_47_S91_L001_R1_001	3684.0	84390.0
NGS001-23_ITS2_47_S91_L001_R2_001	2688.0	85386.0
NGS001-23_ITS2_48_S97_L001_R1_001	2635.0	41581.0
NGS001-23_ITS2_48_S97_L001_R2_001	1633.0	42583.0
NGS069-23_ITS2_29_S45_L001_R1_001	3237.0	67708.0
NGS069-23_ITS2_29_S45_L001_R2_001	2211.0	68734.0
NGS069-23_ITS2_30_S54_L001_R1_001	3412.0	70637.0
NGS069-23_ITS2_30_S54_L001_R2_001	2033.0	72016.0
NGS069-23_ITS2_31_S63_L001_R1_001	3075.0	70296.0
NGS069-23_ITS2_31_S63_L001_R2_001	2090.0	71281.0
NGS069-23_ITS2_32_S72_L001_R1_001	2710.0	52817.0
NGS069-23_ITS2_32_S72_L001_R2_001	1650.0	53877.0
NGS069-23_ITS2_35_S26_L001_R1_001	3014.0	71956.0
NGS069-23_ITS2_35_S26_L001_R2_001	1952.0	73018.0
NGS069-23_ITS2_36_S37_L001_R1_001	3108.0	87624.0
NGS069-23_ITS2_36_S37_L001_R2_001	1941.0	88791.0
NGS069-24-ITS2-1_S192_L001_R1_001	2070.0	27231.0
NGS069-24-ITS2-1_S192_L001_R2_001	2064.0	27237.0
NGS069-24-ITS2-2_S197_L001_R1_001	2266.0	30117.0
NGS069-24-ITS2-2_S197_L001_R2_001	2218.0	30165.0
NGS069-24-ITS2-3_S202_L001_R1_001	2176.0	28626.0
NGS069-24-ITS2-3_S202_L001_R2_001	2142.0	28660.0
NGS069-24-ITS2-4_S207_L001_R1_001	2080.0	26768.0
NGS069-24-ITS2-4_S207_L001_R2_001	2290.0	26558.0
NGS069-24-ITS2-5_S211_L001_R1_001	2260.0	30557.0
NGS069-24-ITS2-5_S211_L001_R2_001	2445.0	30372.0
NGS069-24-ITS2-6_S215_L001_R1_001	2496.0	30173.0
NGS069-24-ITS2-6_S215_L001_R2_001	2682.0	29987.0
NGS069-24-ITS2-7_S220_L001_R1_001	2246.0	31880.0
NGS069-24-ITS2-7_S220_L001_R2_001	2250.0	31876.0
NGS069-24-ITS2-8_S225_L001_R1_001	2341.0	34656.0
NGS069-24-ITS2-8_S225_L001_R2_001	2503.0	34494.0
NGS069-24-ITS2-9_S193_L001_R1_001	1951.0	25545.0
NGS069-24-ITS2-9_S193_L001_R2_001	2032.0	25464.0
