Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_ITS2_41_S55_L001_R1_001	(1.0, 2.4883047449320563)	(2.0, 0.8821563822677656)	(3.0, 0.5680552461572733)	(4.0, 0.427712185341947)	(5.0, 0.4121185119180218)	(6.0, 0.3074181332145244)	(7.0, 0.30407663176654043)	(8.0, 0.19603475161505904)	(9.0, 0.2205390955669414)	('>10', 4.781688572065048)	('>50', 2.9661394519937625)	('>100', 9.376253063042995)	('>500', 7.96057028291379)	('>1k', 24.434172421474713)	('>5k', 15.19603475161506)	('>10k+', 29.4787257741145)
NGS001-23_ITS2_41_S55_L001_R2_001	(1.0, 1.6507017153040766)	(2.0, 0.3363778124303854)	(3.0, 0.24727110715081307)	(4.0, 0.22722209846290933)	(5.0, 0.16150590331922476)	(6.0, 0.1871240810871018)	(7.0, 0.22610826464691466)	(8.0, 0.15148139897527288)	(9.0, 0.2305635999108933)	('>10', 2.237692136333259)	('>50', 1.2942748941857876)	('>100', 8.623301403430608)	('>500', 0.8487413677879261)	('>1k', 3.882824682557363)	('>5k', 6.87903764758298)	('>10k+', 72.81577188683448)
NGS001-23_ITS2_42_S61_L001_R1_001	(1.0, 3.3979908337576963)	(2.0, 1.205962686912643)	(3.0, 0.6909402342484144)	(4.0, 0.5509004212767927)	(5.0, 0.3472061478635248)	(6.0, 0.29165316420536086)	(7.0, 0.32405907133928985)	(8.0, 0.3148002407295959)	(9.0, 0.16665895097449193)	('>10', 4.818063978519513)	('>50', 2.6792741076802002)	('>100', 18.036202027683903)	('>500', 17.92856812184621)	('>1k', 42.46215452988288)	('>5k', 6.785565483079487)	('>10k+', 0.0)
NGS001-23_ITS2_42_S61_L001_R2_001	(1.0, 2.114485440488866)	(2.0, 0.5740474978010277)	(3.0, 0.3749826396926068)	(4.0, 0.29165316420536086)	(5.0, 0.1851766121938799)	(6.0, 0.27776491829081984)	(7.0, 0.11342067496875145)	(8.0, 0.19443544280357392)	(9.0, 0.15624276653858618)	('>10', 2.2996620526827463)	('>50', 1.348317207536688)	('>100', 6.2103606314522475)	('>500', 4.127123744271099)	('>1k', 15.349983797046432)	('>5k', 11.243692421647147)	('>10k+', 55.138650988380164)
NGS001-23_ITS2_43_S67_L001_R1_001	(1.0, 3.365409488333592)	(2.0, 1.2054425992032696)	(3.0, 0.7449945677479435)	(4.0, 0.5794402193595116)	(5.0, 0.41388587097107976)	(6.0, 0.3181747633090175)	(7.0, 0.31688136996223293)	(8.0, 0.2690258161312018)	(9.0, 0.22117026230017073)	('>10', 5.553831031093176)	('>50', 5.159346060323865)	('>100', 16.118267887629987)	('>500', 14.874023488023177)	('>1k', 42.966526980185215)	('>5k', 7.893579595426561)	('>10k+', 0.0)
NGS001-23_ITS2_43_S67_L001_R2_001	(1.0, 2.6307620673599255)	(2.0, 0.6622173935537276)	(3.0, 0.39965854415644886)	(4.0, 0.3414558435511408)	(5.0, 0.23281080242123234)	(6.0, 0.22505044234052463)	(7.0, 0.21729008225981686)	(8.0, 0.18624864193698587)	(9.0, 0.15132702157380104)	('>10', 3.0213668580888817)	('>50', 1.458947695173056)	('>100', 10.506234155931502)	('>500', 4.9834445651611565)	('>1k', 27.921775570386465)	('>5k', 12.64033317812613)	('>10k+', 34.4210771379792)
NGS001-23_ITS2_44_S73_L001_R1_001	(1.0, 3.9093892825373455)	(2.0, 1.3159105548909542)	(3.0, 0.6809607067267875)	(4.0, 0.5214563970430355)	(5.0, 0.3910922977822766)	(6.0, 0.44170424220115945)	(7.0, 0.30060427594245576)	(8.0, 0.40489555535106286)	(9.0, 0.3588846967884421)	('>10', 5.979877917855281)	('>50', 4.002944694948008)	('>100', 20.402748381951476)	('>500', 18.341461918346063)	('>1k', 32.81341063157572)	('>5k', 10.134658446059937)	('>10k+', 0.0)
NGS001-23_ITS2_44_S73_L001_R2_001	(1.0, 2.5827428606484464)	(2.0, 0.7392411275727738)	(3.0, 0.5199227017576148)	(4.0, 0.3190086193675041)	(5.0, 0.26072819852151774)	(6.0, 0.2116499493880556)	(7.0, 0.28986840894451094)	(8.0, 0.2085825588172142)	(9.0, 0.1656390908254348)	('>10', 3.2437655286647646)	('>50', 2.952363424434833)	('>100', 5.2053617987178304)	('>500', 6.62096254716113)	('>1k', 23.40572375080519)	('>5k', 0.0)	('>10k+', 53.27443943437318)
NGS001-23_ITS2_47_S91_L001_R1_001	(1.0, 2.7499602606898743)	(2.0, 0.9628267138996752)	(3.0, 0.5960896518836434)	(4.0, 0.5631627949224516)	(5.0, 0.5052569430251834)	(6.0, 0.34062265821922477)	(7.0, 0.25433158480368784)	(8.0, 0.2815813974612258)	(9.0, 0.18393623543838136)	('>10', 5.217203715057792)	('>50', 3.4834343847219382)	('>100', 12.98680654903831)	('>500', 6.979358266911915)	('>1k', 31.149942094148102)	('>5k', 0.0)	('>10k+', 33.7454867497786)
NGS001-23_ITS2_47_S91_L001_R2_001	(1.0, 2.228807593614461)	(2.0, 0.6153916025160661)	(3.0, 0.3474351113836093)	(4.0, 0.28612303290414876)	(5.0, 0.2100506392351886)	(6.0, 0.16349887594522788)	(7.0, 0.19869655062788108)	(8.0, 0.11808252151599792)	(9.0, 0.14306151645207438)	('>10', 2.534232577151032)	('>50', 1.5918432227445105)	('>100', 6.706860140336534)	('>500', 4.429229965710652)	('>1k', 16.346481367940598)	('>5k', 8.982219497240957)	('>10k+', 55.09798578468106)
NGS001-23_ITS2_48_S97_L001_R1_001	(1.0, 4.136511669983716)	(2.0, 1.2665098606839154)	(3.0, 0.766690790664013)	(4.0, 0.6965804233761534)	(5.0, 0.4184005789759363)	(6.0, 0.4478017007418129)	(7.0, 0.31662746517097884)	(8.0, 0.3437669621856342)	(9.0, 0.162836982087932)	('>10', 6.570019902297811)	('>50', 3.3223267595440564)	('>100', 22.299620047041795)	('>500', 20.406640130269587)	('>1k', 38.84566672697666)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_ITS2_48_S97_L001_R2_001	(1.0, 2.6438393341776734)	(2.0, 0.7191966708883663)	(3.0, 0.48851094626379593)	(4.0, 0.3799529582051746)	(5.0, 0.3392437126831916)	(6.0, 0.2578252216392256)	(7.0, 0.2374705988782341)	(8.0, 0.1085579880586213)	(9.0, 0.12212773656594898)	('>10', 3.5597973584222906)	('>50', 2.202822507689524)	('>100', 8.845214402026416)	('>500', 2.428984982811652)	('>1k', 22.30640492129546)	('>5k', 17.360231590374525)	('>10k+', 37.9998190700199)
