Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
NGS001-23_ITS2_41_S55_L001_R1_001	(301, 89780.0)																											
NGS001-23_ITS2_41_S55_L001_R2_001	(301, 89780.0)																											
NGS001-23_ITS2_42_S61_L001_R1_001	(301, 86404.0)																											
NGS001-23_ITS2_42_S61_L001_R2_001	(301, 86404.0)																											
NGS001-23_ITS2_43_S67_L001_R1_001	(301, 77316.0)																											
NGS001-23_ITS2_43_S67_L001_R2_001	(301, 77316.0)																											
NGS001-23_ITS2_44_S73_L001_R1_001	(301, 65202.0)																											
NGS001-23_ITS2_44_S73_L001_R2_001	(301, 65202.0)																											
NGS001-23_ITS2_47_S91_L001_R1_001	(301, 88074.0)																											
NGS001-23_ITS2_47_S91_L001_R2_001	(301, 88074.0)																											
NGS001-23_ITS2_48_S97_L001_R1_001	(301, 44216.0)																											
NGS001-23_ITS2_48_S97_L001_R2_001	(301, 44216.0)																											
NGS069-23_ITS2_29_S45_L001_R1_001	(301, 70945.0)																											
NGS069-23_ITS2_29_S45_L001_R2_001	(301, 70945.0)																											
NGS069-23_ITS2_30_S54_L001_R1_001	(301, 74049.0)																											
NGS069-23_ITS2_30_S54_L001_R2_001	(301, 74049.0)																											
NGS069-23_ITS2_31_S63_L001_R1_001	(301, 73371.0)																											
NGS069-23_ITS2_31_S63_L001_R2_001	(301, 73371.0)																											
NGS069-23_ITS2_32_S72_L001_R1_001	(301, 55527.0)																											
NGS069-23_ITS2_32_S72_L001_R2_001	(301, 55527.0)																											
NGS069-23_ITS2_35_S26_L001_R1_001	(301, 74970.0)																											
NGS069-23_ITS2_35_S26_L001_R2_001	(301, 74970.0)																											
NGS069-23_ITS2_36_S37_L001_R1_001	(301, 90732.0)																											
NGS069-23_ITS2_36_S37_L001_R2_001	(301, 90732.0)																											
NGS069-24-ITS2-1_S192_L001_R1_001	(30, 8.0)	(40, 3.0)	(50, 3.0)	(60, 5.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 1.0)	(210, 0.0)	(220, 0.0)	(230, 10.0)	(240, 5.0)	(250, 3.0)	(260, 2.0)	(270, 179.0)	(280, 10822.0)	(290, 4428.0)	(300, 13830.0)
NGS069-24-ITS2-1_S192_L001_R2_001	(30, 11.0)	(40, 0.0)	(50, 2.0)	(60, 0.0)	(70, 0.0)	(80, 11.0)	(90, 4.0)	(100, 1.0)	(110, 9.0)	(120, 55.0)	(130, 2.0)	(140, 3.0)	(150, 0.0)	(160, 0.0)	(170, 3.0)	(180, 0.0)	(190, 2.0)	(200, 1.0)	(210, 0.0)	(220, 0.0)	(230, 11.0)	(240, 5.0)	(250, 3.0)	(260, 1.0)	(270, 99.0)	(280, 5291.0)	(290, 3078.0)	(300, 20709.0)
NGS069-24-ITS2-2_S197_L001_R1_001	(30, 7.0)	(40, 4.0)	(50, 2.0)	(60, 2.0)	(70, 3.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 1.0)	(210, 2.0)	(220, 0.0)	(230, 3.0)	(240, 4.0)	(250, 5.0)	(260, 0.0)	(270, 288.0)	(280, 11986.0)	(290, 4721.0)	(300, 15355.0)
NGS069-24-ITS2-2_S197_L001_R2_001	(30, 9.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 26.0)	(90, 1.0)	(100, 3.0)	(110, 4.0)	(120, 68.0)	(130, 8.0)	(140, 9.0)	(150, 1.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 2.0)	(220, 0.0)	(230, 4.0)	(240, 4.0)	(250, 5.0)	(260, 0.0)	(270, 196.0)	(280, 6273.0)	(290, 3280.0)	(300, 22488.0)
NGS069-24-ITS2-3_S202_L001_R1_001	(30, 7.0)	(40, 6.0)	(50, 1.0)	(60, 2.0)	(70, 1.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 1.0)	(180, 2.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 4.0)	(240, 5.0)	(250, 3.0)	(260, 0.0)	(270, 279.0)	(280, 10246.0)	(290, 4550.0)	(300, 15693.0)
NGS069-24-ITS2-3_S202_L001_R2_001	(30, 10.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 16.0)	(90, 5.0)	(100, 0.0)	(110, 10.0)	(120, 70.0)	(130, 1.0)	(140, 8.0)	(150, 0.0)	(160, 1.0)	(170, 2.0)	(180, 3.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 3.0)	(230, 6.0)	(240, 6.0)	(250, 2.0)	(260, 1.0)	(270, 165.0)	(280, 5011.0)	(290, 3167.0)	(300, 22314.0)
