Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
NGS001-23_ITS2_41_S55_L001_R1_001	NGS001-23_ITS2_41_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89780.0	0.0	301.0	51.0	3.789262642013812	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_41_S55_L001_R2_001	NGS001-23_ITS2_41_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89780.0	0.0	301.0	51.0	2.2655379817331256	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_42_S61_L001_R1_001	NGS001-23_ITS2_42_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86404.0	0.0	301.0	49.0	4.965047914448405	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_42_S61_L001_R2_001	NGS001-23_ITS2_42_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86404.0	0.0	301.0	49.0	2.924633118837091	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	warn	fail
NGS001-23_ITS2_43_S67_L001_R1_001	NGS001-23_ITS2_43_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77316.0	0.0	301.0	50.0	5.062341559315018	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_43_S67_L001_R2_001	NGS001-23_ITS2_43_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77316.0	0.0	301.0	51.0	3.568472243778778	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	warn	fail
NGS001-23_ITS2_44_S73_L001_R1_001	NGS001-23_ITS2_44_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65202.0	0.0	301.0	52.0	5.688475813625349	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_44_S73_L001_R2_001	NGS001-23_ITS2_44_S73_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65202.0	0.0	301.0	52.0	3.6241219594490968	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	warn	warn
NGS001-23_ITS2_47_S91_L001_R1_001	NGS001-23_ITS2_47_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88074.0	0.0	301.0	51.0	4.182846242932079	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
NGS001-23_ITS2_47_S91_L001_R2_001	NGS001-23_ITS2_47_S91_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88074.0	0.0	301.0	51.0	3.0519790176442534	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	warn	fail
NGS001-23_ITS2_48_S97_L001_R1_001	NGS001-23_ITS2_48_S97_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44216.0	0.0	301.0	49.0	5.9593812194680655	301.0	301	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	fail	warn
