Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
NGS001-23_ITS2_41_S55_L001_R1_001	96.21073735798619	51.0	301.0	301	50.0	0.08978
NGS001-23_ITS2_41_S55_L001_R2_001	97.73446201826687	51.0	301.0	301	58.333333333333336	0.08978
NGS001-23_ITS2_42_S61_L001_R1_001	95.0349520855516	49.0	301.0	301	50.0	0.086404
NGS001-23_ITS2_42_S61_L001_R2_001	97.0753668811629	49.0	301.0	301	50.0	0.086404
NGS001-23_ITS2_43_S67_L001_R1_001	94.93765844068498	50.0	301.0	301	50.0	0.077316
NGS001-23_ITS2_43_S67_L001_R2_001	96.43152775622123	51.0	301.0	301	50.0	0.077316
NGS001-23_ITS2_44_S73_L001_R1_001	94.31152418637465	52.0	301.0	301	50.0	0.065202
NGS001-23_ITS2_44_S73_L001_R2_001	96.3758780405509	52.0	301.0	301	41.66666666666667	0.065202
NGS001-23_ITS2_47_S91_L001_R1_001	95.81715375706793	51.0	301.0	301	50.0	0.088074
NGS001-23_ITS2_47_S91_L001_R2_001	96.94802098235574	51.0	301.0	301	50.0	0.088074
NGS001-23_ITS2_48_S97_L001_R1_001	94.04061878053193	49.0	301.0	301	41.66666666666667	0.044216
NGS001-23_ITS2_48_S97_L001_R2_001	96.30676678125565	50.0	301.0	301	41.66666666666667	0.044216
NGS069-23_ITS2_29_S45_L001_R1_001	95.43731059271266	53.0	301.0	301	50.0	0.070945
NGS069-23_ITS2_29_S45_L001_R2_001	96.8835013038269	53.0	301.0	301	50.0	0.070945
NGS069-23_ITS2_30_S54_L001_R1_001	95.39224027333252	50.0	301.0	301	41.66666666666667	0.07404899999999999
NGS069-23_ITS2_30_S54_L001_R2_001	97.2545206552418	50.0	301.0	301	41.66666666666667	0.07404899999999999
NGS069-23_ITS2_31_S63_L001_R1_001	95.80897084679233	48.0	301.0	301	41.66666666666667	0.07337099999999999
NGS069-23_ITS2_31_S63_L001_R2_001	97.15146311212877	48.0	301.0	301	58.333333333333336	0.07337099999999999
NGS069-23_ITS2_32_S72_L001_R1_001	95.11949141858915	51.0	301.0	301	41.66666666666667	0.055527
NGS069-23_ITS2_32_S72_L001_R2_001	97.02847263493436	51.0	301.0	301	41.66666666666667	0.055527
NGS069-23_ITS2_35_S26_L001_R1_001	95.9797252234227	51.0	301.0	301	50.0	0.07497
NGS069-23_ITS2_35_S26_L001_R2_001	97.39629185007337	51.0	301.0	301	50.0	0.07497
NGS069-23_ITS2_36_S37_L001_R1_001	96.57452717894458	50.0	301.0	301	50.0	0.090732
NGS069-23_ITS2_36_S37_L001_R2_001	97.86183485429616	50.0	301.0	301	58.333333333333336	0.090732
NGS069-24-ITS2-1_S192_L001_R1_001	92.93539469642674	52.0	293.54286543121395	294	58.333333333333336	0.029300999999999997
NGS069-24-ITS2-1_S192_L001_R2_001	92.95587181324869	52.0	296.5350329340296	301	58.333333333333336	0.029300999999999997
NGS069-24-ITS2-2_S197_L001_R1_001	93.00250131241701	52.0	293.54077756847727	294	58.333333333333336	0.032382999999999995
NGS069-24-ITS2-2_S197_L001_R2_001	93.15072723342494	52.0	296.1907636722972	301	66.66666666666666	0.032382999999999995
NGS069-24-ITS2-3_S202_L001_R1_001	92.93552366729433	52.0	294.12646906045063	301	58.333333333333336	0.030802
NGS069-24-ITS2-3_S202_L001_R2_001	93.04590610999286	51.0	296.7021621972599	301	58.333333333333336	0.030802
NGS069-24-ITS2-4_S207_L001_R1_001	92.789794786467	51.0	295.99511231281195	301	50.0	0.028848
NGS069-24-ITS2-4_S207_L001_R2_001	92.0618413754853	50.0	297.3862486134221	301	58.333333333333336	0.028848
NGS069-24-ITS2-5_S211_L001_R1_001	93.11332541061036	51.0	295.5700856263522	301	50.0	0.032817
NGS069-24-ITS2-5_S211_L001_R2_001	92.54959319864705	50.0	297.08824694518086	301	66.66666666666666	0.032817
NGS069-24-ITS2-6_S215_L001_R1_001	92.35972940708317	50.0	296.27287336618815	301	50.0	0.032669
NGS069-24-ITS2-6_S215_L001_R2_001	91.79038231963023	50.0	297.39768587958	301	66.66666666666666	0.032669
NGS069-24-ITS2-7_S220_L001_R1_001	93.41850788255289	52.0	294.55989568071266	301	50.0	0.034126
NGS069-24-ITS2-7_S220_L001_R2_001	93.40678661431167	51.0	296.6724198558284	301	58.333333333333336	0.034126
NGS069-24-ITS2-8_S225_L001_R1_001	93.67245992918345	50.0	295.71099008027676	301	50.0	0.036996999999999995
NGS069-24-ITS2-8_S225_L001_R2_001	93.23458658810173	50.0	297.2989972159905	301	58.333333333333336	0.036996999999999995
NGS069-24-ITS2-9_S193_L001_R1_001	92.90442246144895	51.0	295.26176534768695	301	50.0	0.027496
NGS069-24-ITS2-9_S193_L001_R2_001	92.60983415769567	50.0	297.37149039860344	301	58.333333333333336	0.027496
