Module	Section	Sample Name	Source
FastQC	all_sections	NGS001-23_ITS2_41_S55_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_41_S55_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_41_S55_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_41_S55_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_42_S61_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_42_S61_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_42_S61_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_42_S61_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_43_S67_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_43_S67_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_43_S67_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_43_S67_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_44_S73_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_44_S73_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_44_S73_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_44_S73_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_47_S91_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_47_S91_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_47_S91_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_47_S91_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_48_S97_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_48_S97_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_ITS2_48_S97_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS001-23_ITS2_48_S97_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_29_S45_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_29_S45_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_29_S45_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_29_S45_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_30_S54_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_30_S54_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_30_S54_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_30_S54_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_31_S63_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_31_S63_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_31_S63_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_31_S63_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_32_S72_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_32_S72_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_32_S72_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_32_S72_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_35_S26_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_35_S26_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_35_S26_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_35_S26_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_36_S37_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_36_S37_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-23_ITS2_36_S37_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-23_ITS2_36_S37_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-1_S192_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-1_S192_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-1_S192_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-1_S192_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-2_S197_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-2_S197_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-2_S197_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-2_S197_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-3_S202_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-3_S202_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-3_S202_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-3_S202_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-4_S207_L001_R1_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-4_S207_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS069-24-ITS2-4_S207_L001_R2_001	/Users/adrian/Downloads/GenoScribe/2-pipelines/3-metagenomic/work/72/f500fff0e2707c0244c43e867cd057/Pre_fastqc_results/NGS069-24-ITS2-4_S207_L001_R2_001_fastqc.zip
